id,label,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9
1,R1,2315,315,17,67,22,474,174,224,190,865
2,R2,3112,171,18,150,-16,2412,229,245,140,3435
3,R3,2959,239,8,30,1,5352,205,247,180,2353
4,R4,3441,193,13,541,95,2761,218,250,163,1584
5,R5,3270,339,18,577,170,3376,178,211,170,3472
6,R6,3076,299,12,240,36,4817,187,236,189,400
7,R7,2909,310,21,793,143,2343,157,220,201,808
8,R8,2985,244,13,543,79,5685,193,250,194,4761
9,R9,3014,252,8,446,98,5472,204,245,180,1631
10,R10,3228,82,7,671,78,3207,230,228,132,2843
11,R11,2948,30,15,162,44,2282,214,206,124,1772
12,R12,3220,49,24,488,54,830,222,179,78,1781
13,R13,2843,36,12,537,11,560,219,212,127,1237
14,R14,2323,324,32,108,14,1302,124,188,194,932
15,R15,2891,65,17,272,86,300,234,202,95,1332
16,R16,2883,252,2,430,103,3929,214,240,164,5750
17,R17,2895,157,5,484,63,2466,226,241,149,2497
18,R18,2680,106,13,85,-12,1249,242,224,109,2117
19,R19,3319,157,23,793,203,2701,238,236,115,2486
20,R20,2884,64,18,541,105,1266,234,201,93,2658
21,R21,2943,70,11,60,10,2938,232,218,117,1329
22,R22,3318,82,12,534,112,446,237,219,111,268
23,R23,2894,359,10,120,14,3823,205,221,154,3722
24,R24,3403,205,12,731,197,2030,213,251,171,1170
25,R25,3045,186,9,175,-22,1556,222,247,159,871
26,R26,2752,139,22,404,123,2589,247,227,97,2105
27,R27,2844,153,14,42,7,4784,236,240,131,4538
28,R28,2630,41,16,42,4,1370,220,203,113,2505
29,R29,3153,30,10,42,5,990,217,218,136,2096
30,R30,2577,302,23,60,18,1188,149,222,210,698
31,R31,3272,0,16,60,17,2102,195,209,150,1395
32,R32,2929,187,10,175,57,3348,222,248,159,2143
33,R33,2889,53,25,382,94,3221,225,179,74,841
34,R34,2912,212,21,108,32,5155,198,254,185,1116
35,R35,2892,68,25,90,35,5484,236,182,62,765
36,R36,3001,216,6,616,92,5701,214,246,168,2987
37,R37,2559,45,1,577,17,1071,219,235,153,1328
38,R38,3285,325,22,342,86,532,160,210,187,430
39,R39,3296,21,11,679,128,2532,212,216,139,2236
