id,label,attr_0,attr_1
1,R1,3107,323
2,R2,3099,37
3,R3,3161,105
4,R4,3400,235
5,R5,3292,50
6,R6,2974,306
7,R7,3109,35
8,R8,2572,13
9,R9,2774,203
10,R10,3271,21
11,R11,3102,150
12,R12,3161,353
13,R13,3289,293
14,R14,2859,178
15,R15,2945,50
16,R16,2938,121
17,R17,3077,177
18,R18,3125,137
19,R19,3004,45
20,R20,2577,84
21,R21,3363,180
22,R22,2639,108
23,R23,2321,317
24,R24,2590,127
25,R25,3050,131
26,R26,2603,345
27,R27,2694,46
28,R28,2793,188
29,R29,2936,313
30,R30,2289,105
31,R31,3120,42
32,R32,3276,304
33,R33,2995,19
34,R34,3189,3
35,R35,3059,190
36,R36,3038,129
37,R37,2737,40
38,R38,2858,180
39,R39,2315,149
40,R40,2913,216
41,R41,2434,280
42,R42,2710,74
43,R43,3005,287
44,R44,3360,97
45,R45,3001,161
46,R46,2891,91
47,R47,2581,202
48,R48,3210,22
49,R49,3037,51
50,R50,2737,34
51,R51,3014,118
52,R52,2035,96
53,R53,3278,110
54,R54,3092,10
55,R55,3003,119
56,R56,2944,324
57,R57,3025,28
58,R58,2868,357
59,R59,2973,64
60,R60,2913,90
61,R61,3162,45
62,R62,3079,153
63,R63,2480,97
64,R64,2524,328
65,R65,3045,71
66,R66,2824,143
67,R67,3401,161
68,R68,3272,176
69,R69,2962,117
70,R70,2830,18
71,R71,2478,183
72,R72,2729,94
73,R73,3028,86
74,R74,2923,250
75,R75,3132,167
76,R76,3038,112
77,R77,3206,127
78,R78,3310,329
79,R79,3401,127
80,R80,2984,36
81,R81,2966,321
82,R82,3223,136
83,R83,2746,222
84,R84,2970,45
85,R85,3425,215
86,R86,3244,350
87,R87,3248,294
88,R88,2743,46
89,R89,3162,321
90,R90,3111,304
91,R91,3066,340
92,R92,3151,120
93,R93,2977,294
94,R94,2841,72
95,R95,2704,202
96,R96,3007,182
97,R97,2607,296
98,R98,2806,65
99,R99,2491,287
100,R100,3289,198
101,R101,2968,70
102,R102,2290,200
103,R103,3423,311
104,R104,2899,347
105,R105,2948,70
106,R106,2862,87
107,R107,2809,97
108,R108,3248,305
109,R109,3183,0
110,R110,2984,17
111,R111,3105,45
112,R112,3060,97
113,R113,3346,183
114,R114,2620,302
115,R115,3211,355
116,R116,3107,96
117,R117,2932,103
118,R118,3008,63
119,R119,2821,79
120,R120,3159,167
121,R121,3111,96
122,R122,2942,30
123,R123,2115,319
124,R124,3006,42
125,R125,3162,70
126,R126,2415,320
127,R127,3254,345
128,R128,2470,59
129,R129,2946,15
130,R130,2601,81
131,R131,3147,266
132,R132,2988,213
133,R133,2743,52
134,R134,3046,56
135,R135,2894,84
136,R136,3248,321
137,R137,3032,76
138,R138,2800,272
139,R139,2901,304
140,R140,2995,29
141,R141,3122,166
142,R142,1925,352
143,R143,2707,115
144,R144,3123,288
145,R145,2486,213
146,R146,3269,111
147,R147,3118,184
148,R148,3061,266
149,R149,2729,74
150,R150,3278,329
151,R151,3359,227
152,R152,2975,28
153,R153,2869,47
154,R154,3210,128
155,R155,3361,335
156,R156,2985,351
157,R157,2755,86
158,R158,2725,61
159,R159,3090,349
160,R160,2949,27
161,R161,2721,359
162,R162,2845,304
163,R163,2407,2
164,R164,3407,102
165,R165,2822,302
166,R166,3309,183
167,R167,2352,288
168,R168,2598,93
169,R169,2202,36
170,R170,3246,68
171,R171,3031,135
172,R172,3079,108
173,R173,2758,45
174,R174,3236,180
175,R175,2964,58
176,R176,2770,99
177,R177,2911,338
178,R178,3330,133
179,R179,3112,208
180,R180,2507,337
181,R181,2717,66
182,R182,3086,68
183,R183,3176,196
184,R184,2077,130
185,R185,3078,142
186,R186,2497,49
187,R187,3321,99
188,R188,2744,282
189,R189,3385,14
190,R190,2656,65
191,R191,3202,270
192,R192,3413,269
193,R193,2975,2
194,R194,2848,30
195,R195,2945,138
196,R196,2929,103
197,R197,3009,337
198,R198,2753,143
199,R199,3287,34
200,R200,2759,218
201,R201,2974,125
202,R202,3343,315
203,R203,3078,236
204,R204,2852,128
205,R205,2738,168
206,R206,3071,11
207,R207,3344,338
208,R208,3110,60
209,R209,2808,101
210,R210,2999,4
211,R211,2919,225
212,R212,2745,73
213,R213,2968,211
214,R214,3057,37
215,R215,2473,7
216,R216,3190,11
217,R217,3022,36
218,R218,2255,350
219,R219,3119,90
220,R220,2805,67
221,R221,3140,320
222,R222,3002,222
223,R223,2930,34
224,R224,3132,142
225,R225,2990,342
226,R226,2990,331
227,R227,2831,127
228,R228,2888,38
229,R229,3017,35
230,R230,2816,107
231,R231,2972,327
232,R232,3334,100
233,R233,3068,66
234,R234,3279,1
235,R235,2739,349
236,R236,2649,18
237,R237,2936,55
238,R238,2782,141
239,R239,2682,102
240,R240,2663,28
241,R241,3111,343
242,R242,2726,37
243,R243,3345,298
244,R244,3214,2
245,R245,3106,182
246,R246,3348,219
247,R247,3092,326
248,R248,3153,55
249,R249,3197,0
250,R250,2874,68
251,R251,2859,59
252,R252,3337,148
253,R253,2906,248
254,R254,2653,85
255,R255,2820,75
256,R256,2857,36
257,R257,3103,30
258,R258,2395,0
259,R259,3184,344
260,R260,2753,331
261,R261,2888,77
262,R262,2706,352
263,R263,3015,87
264,R264,3290,304
265,R265,3093,149
266,R266,3155,93
267,R267,3064,183
268,R268,2900,101
269,R269,3038,263
270,R270,3017,262
271,R271,2873,93
272,R272,3076,285
273,R273,2768,309
274,R274,2666,70
275,R275,3503,254
276,R276,2356,69
277,R277,2967,51
278,R278,2855,70
279,R279,2932,117
280,R280,2934,59
281,R281,2588,0
282,R282,2808,44
283,R283,3111,131
284,R284,3107,341
285,R285,3014,97
286,R286,3113,45
287,R287,2880,0
288,R288,2080,41
289,R289,3259,166
290,R290,2946,130
291,R291,3100,64
292,R292,3143,98
293,R293,2833,28
294,R294,2959,126
295,R295,2906,97
296,R296,2712,350
297,R297,3280,79
298,R298,3185,6
299,R299,2820,59
300,R300,3184,149
301,R301,3289,201
302,R302,3208,131
303,R303,2984,37
304,R304,3371,222
305,R305,2958,41
306,R306,2974,202
307,R307,3295,54
308,R308,2947,73
309,R309,3168,205
310,R310,3339,317
311,R311,2868,113
312,R312,2610,0
313,R313,3166,165
314,R314,3105,333
315,R315,2062,84
316,R316,2945,101
317,R317,3332,356
318,R318,2738,194
319,R319,3438,329
320,R320,2609,338
321,R321,2172,111
322,R322,2818,85
323,R323,3130,115
324,R324,2724,198
325,R325,2667,260
326,R326,3132,236
327,R327,2529,204
328,R328,3172,122
329,R329,3228,6
330,R330,3253,238
331,R331,2674,44
332,R332,2558,135
333,R333,2292,342
334,R334,3003,254
335,R335,2860,92
336,R336,3375,38
337,R337,3041,166
338,R338,2685,67
339,R339,3255,352
340,R340,3086,121
341,R341,3046,20
342,R342,2769,45
343,R343,3210,116
344,R344,3322,82
345,R345,2885,327
346,R346,3095,243
347,R347,3115,273
348,R348,3080,199
349,R349,2673,176
350,R350,2980,315
351,R351,3132,55
352,R352,3072,151
353,R353,3246,99
354,R354,3120,239
355,R355,3050,308
356,R356,3314,265
357,R357,2112,23
358,R358,2794,259
359,R359,2884,4
360,R360,2883,17
361,R361,3112,53
362,R362,3086,21
363,R363,3104,328
364,R364,2935,280
365,R365,3026,65
366,R366,2814,203
367,R367,2716,41
368,R368,2899,3
369,R369,2938,351
370,R370,3421,50
371,R371,3404,169
372,R372,3077,287
373,R373,3217,270
374,R374,2347,174
375,R375,2969,353
376,R376,3386,282
377,R377,3356,212
378,R378,3069,42
379,R379,2440,51
380,R380,2090,358
381,R381,2845,74
382,R382,2824,59
383,R383,3384,236
384,R384,2943,252
385,R385,2978,66
386,R386,2662,310
387,R387,3020,44
388,R388,2310,26
389,R389,2970,87
390,R390,3097,162
391,R391,3146,143
392,R392,3071,103
393,R393,3070,69
394,R394,3236,156
395,R395,2986,94
396,R396,2866,87
397,R397,2909,73
398,R398,3216,35
399,R399,3402,92
400,R400,2204,40
401,R401,3204,297
402,R402,2782,186
403,R403,2785,192
404,R404,2787,55
405,R405,3139,315
406,R406,2901,76
407,R407,3232,336
408,R408,3044,264
409,R409,2860,46
410,R410,3069,342
411,R411,3208,344
412,R412,3119,36
413,R413,2947,69
414,R414,2671,3
415,R415,2529,96
416,R416,3145,316
417,R417,3105,34
418,R418,3191,70
419,R419,2533,90
420,R420,2796,193
421,R421,2218,332
422,R422,3034,101
423,R423,3193,281
424,R424,2980,25
425,R425,3266,22
426,R426,3327,1
427,R427,3136,176
428,R428,2893,335
429,R429,2439,352
430,R430,3081,319
431,R431,2880,90
432,R432,2780,67
433,R433,2827,84
434,R434,3155,0
435,R435,3222,58
436,R436,3210,122
437,R437,2972,333
438,R438,3093,157
439,R439,2483,352
440,R440,2918,53
441,R441,2269,326
442,R442,3082,331
443,R443,2954,16
444,R444,2835,232
445,R445,3367,85
446,R446,2662,281
447,R447,3175,199
448,R448,3165,332
449,R449,2591,210
450,R450,3034,25
451,R451,2803,261
452,R452,3297,74
453,R453,3056,103
454,R454,3053,255
455,R455,3284,359
456,R456,2854,8
457,R457,2404,194
458,R458,2966,176
459,R459,3088,143
460,R460,3367,86
461,R461,3255,265
462,R462,2992,271
463,R463,2897,117
464,R464,2761,244
465,R465,1991,342
466,R466,2692,161
467,R467,3197,180
468,R468,3154,315
469,R469,2751,267
470,R470,2929,353
471,R471,3159,135
472,R472,3184,309
473,R473,3237,225
474,R474,2778,41
475,R475,3135,359
476,R476,2948,167
477,R477,2656,342
478,R478,2751,36
479,R479,2965,225
480,R480,3155,58
481,R481,3191,337
482,R482,2986,121
483,R483,2910,199
484,R484,3488,23
485,R485,3136,291
486,R486,2493,36
487,R487,2662,24
488,R488,2645,277
489,R489,2777,80
490,R490,3098,133
491,R491,2921,297
492,R492,3042,72
493,R493,3210,105
494,R494,3242,285
495,R495,3162,43
496,R496,3034,10
497,R497,3000,252
498,R498,2416,215
499,R499,2909,161
500,R500,3082,306
501,R501,2759,359
502,R502,2676,16
503,R503,2970,103
504,R504,2258,57
505,R505,2746,329
506,R506,3024,17
507,R507,3202,87
508,R508,3387,357
509,R509,3068,268
510,R510,2305,255
511,R511,2610,54
512,R512,3279,41
513,R513,2992,275
514,R514,3241,15
515,R515,2978,94
516,R516,2550,6
517,R517,3053,322
518,R518,2710,349
519,R519,3324,161
520,R520,2763,233
521,R521,2613,6
522,R522,2776,193
523,R523,2944,102
524,R524,2807,295
525,R525,3331,33
526,R526,3305,265
527,R527,2754,135
528,R528,3129,0
529,R529,2970,207
530,R530,3043,223
531,R531,3181,152
532,R532,3121,120
533,R533,2758,8
534,R534,2831,203
535,R535,3406,351
536,R536,2414,64
537,R537,2490,335
538,R538,3103,192
539,R539,2874,34
540,R540,3193,352
541,R541,3087,4
542,R542,2933,162
543,R543,3317,323
544,R544,3203,0
545,R545,2902,104
546,R546,3175,175
547,R547,2463,65
548,R548,2741,107
549,R549,2180,84
550,R550,2827,26
551,R551,3341,271
552,R552,2739,312
553,R553,3138,273
554,R554,3124,85
555,R555,2813,67
556,R556,2905,357
557,R557,3021,33
558,R558,2628,114
559,R559,2236,359
560,R560,2800,113
561,R561,2945,328
562,R562,3163,18
563,R563,3215,63
564,R564,3060,40
565,R565,3323,293
566,R566,3002,22
567,R567,2960,308
568,R568,2848,84
569,R569,3034,90
570,R570,2835,62
571,R571,3033,97
572,R572,3218,45
573,R573,3019,185
574,R574,3301,345
575,R575,3078,31
576,R576,3242,44
577,R577,3400,139
578,R578,3094,60
579,R579,2798,84
580,R580,3170,76
581,R581,2155,62
582,R582,2993,262
583,R583,2544,36
584,R584,2945,336
585,R585,2942,16
586,R586,3252,196
587,R587,3059,49
588,R588,2582,107
589,R589,3034,57
590,R590,3159,108
591,R591,2735,122
592,R592,3273,131
593,R593,2929,105
594,R594,2853,142
595,R595,3058,182
596,R596,2923,322
597,R597,2894,124
598,R598,2953,8
599,R599,3008,315
600,R600,3008,101
601,R601,2926,81
602,R602,3217,4
603,R603,3288,141
604,R604,3167,182
605,R605,3197,255
606,R606,3054,225
607,R607,3017,231
608,R608,2212,358
609,R609,3436,113
610,R610,2659,318
611,R611,3101,159
612,R612,2642,22
613,R613,3198,311
614,R614,3027,260
615,R615,3164,229
616,R616,3295,135
617,R617,2914,88
618,R618,3272,191
619,R619,3234,330
620,R620,3168,358
621,R621,3209,82
622,R622,2938,72
623,R623,2360,319
624,R624,3039,57
625,R625,3200,357
626,R626,2828,256
627,R627,2543,128
628,R628,3170,345
629,R629,3269,134
630,R630,3139,49
631,R631,3181,22
632,R632,2704,325
633,R633,3367,180
634,R634,3330,234
635,R635,2526,12
636,R636,3132,17
637,R637,2509,117
638,R638,2947,306
639,R639,3022,184
640,R640,3209,39
641,R641,2398,359
642,R642,2948,137
643,R643,3405,332
644,R644,3273,38
645,R645,2837,6
646,R646,2830,84
647,R647,3347,205
648,R648,2803,85
649,R649,2942,110
650,R650,3379,46
651,R651,2170,8
652,R652,3041,18
653,R653,3212,213
654,R654,2057,325
655,R655,3016,98
656,R656,2687,356
657,R657,3484,35
658,R658,3019,58
659,R659,2711,215
660,R660,2851,122
661,R661,3356,220
662,R662,2756,180
663,R663,2975,270
664,R664,3225,252
665,R665,3089,84
666,R666,2400,6
667,R667,2064,138
668,R668,2924,159
669,R669,3142,245
670,R670,3081,59
671,R671,2264,34
672,R672,3040,310
673,R673,3763,13
674,R674,2947,355
675,R675,3151,135
676,R676,2783,152
677,R677,3044,129
678,R678,2680,146
679,R679,3217,16
680,R680,2608,28
681,R681,2657,139
682,R682,3378,3
683,R683,3308,13
684,R684,3006,351
685,R685,3255,14
686,R686,3385,315
687,R687,2291,267
688,R688,2931,54
689,R689,3158,298
690,R690,3037,90
691,R691,2917,123
692,R692,3012,122
693,R693,2584,11
694,R694,3175,29
695,R695,2983,298
696,R696,3036,159
697,R697,3172,192
698,R698,2526,28
699,R699,2975,144
700,R700,3152,144
701,R701,2564,19
702,R702,2554,20
703,R703,2997,144
704,R704,3345,115
705,R705,3246,14
706,R706,3099,73
707,R707,3209,43
708,R708,2403,84
709,R709,3037,112
710,R710,2900,56
711,R711,2825,22
712,R712,3355,357
713,R713,2526,34
714,R714,3281,173
715,R715,2945,150
716,R716,2986,123
717,R717,2898,215
718,R718,3219,20
719,R719,3096,121
720,R720,2734,281
721,R721,3233,173
722,R722,3075,359
723,R723,3007,70
724,R724,3050,15
725,R725,3203,345
726,R726,2949,108
727,R727,2494,104
728,R728,2843,10
729,R729,3358,225
730,R730,2903,72
731,R731,3223,105
732,R732,3164,24
733,R733,3133,61
734,R734,2881,156
735,R735,3230,72
736,R736,3178,135
737,R737,3117,72
738,R738,3183,334
739,R739,2929,25
740,R740,3063,90
741,R741,3141,296
742,R742,2926,173
743,R743,2342,348
744,R744,3232,92
745,R745,2275,264
746,R746,3211,135
747,R747,3178,90
748,R748,2985,51
749,R749,2585,40
750,R750,3070,45
751,R751,2567,309
752,R752,3228,3
753,R753,2738,350
754,R754,3216,74
755,R755,3010,192
756,R756,2521,1
757,R757,2483,197
758,R758,3405,346
759,R759,2068,63
760,R760,2878,353
761,R761,2956,31
762,R762,3223,318
763,R763,3161,76
764,R764,2758,61
765,R765,2763,141
766,R766,3050,334
767,R767,3038,1
768,R768,2394,293
769,R769,2821,167
770,R770,2639,58
