id,label,attr_0,attr_1,attr_2
1,R1,3213,172,13
2,R2,2892,189,25
3,R3,3294,53,15
4,R4,3177,86,7
5,R5,3191,90,15
6,R6,3211,51,9
7,R7,2982,344,15
8,R8,2923,281,2
9,R9,3072,43,10
10,R10,3099,202,15
11,R11,2099,301,23
12,R12,2991,90,7
13,R13,2837,36,2
14,R14,3525,325,11
15,R15,2757,12,10
16,R16,3022,99,8
17,R17,2937,135,13
18,R18,2604,74,16
19,R19,2592,20,12
20,R20,3159,132,14
21,R21,2391,62,16
22,R22,3027,267,15
23,R23,2732,346,17
24,R24,2763,333,26
25,R25,2948,236,38
26,R26,2852,79,7
27,R27,3227,326,15
28,R28,3152,98,12
29,R29,3089,14,4
30,R30,2955,0,4
31,R31,2679,71,24
32,R32,2413,29,18
33,R33,3118,267,15
34,R34,2791,58,9
35,R35,2578,350,18
36,R36,2505,23,7
37,R37,3324,116,18
38,R38,3237,300,7
39,R39,3021,99,13
40,R40,3027,170,14
41,R41,3183,117,4
42,R42,3292,256,2
43,R43,2889,26,19
44,R44,3310,50,16
45,R45,3075,213,13
46,R46,2998,185,11
47,R47,3134,328,9
48,R48,3381,103,16
49,R49,3027,306,6
50,R50,3285,274,12
51,R51,3220,194,8
52,R52,2663,2,9
53,R53,3289,16,10
54,R54,2240,333,34
55,R55,2732,45,13
56,R56,2710,258,8
57,R57,2736,161,19
58,R58,2922,39,23
59,R59,2342,348,6
60,R60,3252,138,32
61,R61,3007,210,17
62,R62,3455,312,14
63,R63,2985,65,15
64,R64,3068,47,9
65,R65,3033,100,7
66,R66,2982,27,14
67,R67,2929,20,26
68,R68,2811,69,10
69,R69,3294,111,15
70,R70,2524,198,12
71,R71,3245,78,13
72,R72,2912,59,18
73,R73,3219,127,12
74,R74,3064,80,12
75,R75,2628,74,21
76,R76,3126,152,6
77,R77,3249,210,15
78,R78,2320,79,11
79,R79,2920,193,17
80,R80,3269,142,15
81,R81,3031,151,2
82,R82,2968,207,3
83,R83,2974,326,16
84,R84,3266,61,15
85,R85,2397,304,21
86,R86,2361,101,22
87,R87,3190,297,4
88,R88,3073,90,27
89,R89,2909,326,7
90,R90,3037,203,4
91,R91,3014,298,5
92,R92,3076,166,2
93,R93,2840,79,14
94,R94,3240,45,12
95,R95,3153,30,19
96,R96,2976,14,4
97,R97,3285,328,10
98,R98,2913,45,4
99,R99,3171,217,9
100,R100,2988,310,4
101,R101,3194,233,7
102,R102,2582,106,3
103,R103,3046,207,10
104,R104,2848,57,14
105,R105,3102,89,34
106,R106,2802,45,12
107,R107,3495,145,15
108,R108,2442,45,8
109,R109,3147,67,9
110,R110,2978,51,10
111,R111,3041,315,8
112,R112,2949,138,22
113,R113,2986,12,10
114,R114,3202,153,5
115,R115,3007,319,22
116,R116,2689,295,14
117,R117,2972,93,14
118,R118,3173,214,5
119,R119,3141,87,37
120,R120,2906,49,9
121,R121,3079,354,2
122,R122,3038,85,11
123,R123,2708,334,24
124,R124,3106,99,16
125,R125,3358,306,19
126,R126,2756,100,16
127,R127,2844,310,11
128,R128,3004,63,13
129,R129,3426,78,11
130,R130,3001,315,1
131,R131,2957,37,7
132,R132,2927,139,9
133,R133,2891,217,14
134,R134,2651,68,5
135,R135,2799,119,6
136,R136,2627,11,5
137,R137,3051,147,8
138,R138,2875,35,16
139,R139,3432,5,19
140,R140,2981,287,20
141,R141,2844,120,9
142,R142,2873,63,18
143,R143,3411,280,26
144,R144,3022,135,1
145,R145,3162,343,13
146,R146,2780,225,1
147,R147,2735,82,13
148,R148,2967,22,16
149,R149,2865,319,10
150,R150,3431,170,15
151,R151,3094,291,8
152,R152,3091,60,5
153,R153,3172,169,10
154,R154,3161,255,24
155,R155,2727,60,9
156,R156,2814,34,20
157,R157,2621,151,15
158,R158,3001,315,1
159,R159,3110,264,22
160,R160,3051,99,18
161,R161,3210,228,12
162,R162,3156,273,32
163,R163,3062,259,2
164,R164,3310,211,11
165,R165,3211,126,12
166,R166,3036,227,19
167,R167,2918,315,7
168,R168,2776,276,9
169,R169,3256,332,9
170,R170,2670,208,27
171,R171,3024,15,22
172,R172,2317,330,28
173,R173,2506,349,25
174,R174,2956,270,1
175,R175,2886,136,13
176,R176,3846,18,2
177,R177,2701,20,17
178,R178,2553,343,29
179,R179,2283,238,8
180,R180,2967,355,10
181,R181,3184,141,32
182,R182,3057,346,4
183,R183,2842,10,19
184,R184,2275,264,9
185,R185,2945,51,10
186,R186,2668,90,23
187,R187,2755,117,21
188,R188,2295,57,12
189,R189,2888,94,7
190,R190,3126,141,19
191,R191,3285,201,22
192,R192,2970,201,4
193,R193,2972,306,10
194,R194,3192,25,10
195,R195,2698,63,8
196,R196,3157,277,11
197,R197,2507,344,20
198,R198,3063,253,10
199,R199,3244,180,9
200,R200,2684,75,23
