id,label,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6
1,R1,3151,29,15,218,23,1654,214
2,R2,3090,225,21,350,50,2977,187
3,R3,2960,7,18,127,18,569,195
4,R4,2831,16,14,626,101,60,207
5,R5,2960,73,21,268,107,313,239
6,R6,2787,160,23,127,59,3455,236
7,R7,2685,112,24,192,69,1380,252
8,R8,2585,184,22,30,11,1710,219
9,R9,2634,200,28,201,30,1864,197
10,R10,2388,327,16,85,20,1008,180
11,R11,2296,21,22,492,212,603,198
12,R12,2863,253,25,242,97,1987,155
13,R13,2553,272,13,335,126,1142,186
14,R14,2844,179,23,228,-32,3121,222
15,R15,3124,230,16,170,18,1906,193
16,R16,3369,234,8,150,20,2081,206
17,R17,3078,6,15,30,6,2848,201
18,R18,3479,66,24,725,264,2389,235
19,R19,3442,324,13,474,73,4908,188
20,R20,3316,286,12,300,41,2650,187
21,R21,3072,96,17,95,18,1746,245
22,R22,3057,203,20,42,13,2529,205
23,R23,3086,274,3,720,1,977,211
24,R24,2823,50,11,95,8,1087,225
25,R25,3052,90,6,454,80,2412,229
26,R26,2823,133,23,67,14,4255,249
27,R27,2374,114,20,67,18,612,250
28,R28,2928,175,18,576,96,685,227
29,R29,2341,236,23,256,127,900,174
30,R30,3123,146,12,732,98,1738,237
31,R31,2329,330,32,90,49,1380,128
32,R32,3024,197,12,319,46,5673,217
33,R33,3176,302,23,270,95,4554,151
34,R34,3086,231,12,175,8,2314,200
35,R35,2742,79,14,558,36,1482,238
36,R36,3061,23,5,42,0,3572,217
37,R37,3222,326,5,331,39,700,206
38,R38,3118,283,11,0,0,3704,191
39,R39,3217,231,6,566,67,5948,210
40,R40,2782,85,15,108,18,1552,240
41,R41,2901,153,15,277,49,3362,237
42,R42,2978,356,12,283,3,4403,201
43,R43,3360,101,7,162,87,4173,233
44,R44,3216,67,10,361,28,1443,231
45,R45,3041,259,26,390,130,5518,149
46,R46,2813,76,15,95,22,2047,238
47,R47,3418,288,12,570,79,1606,186
48,R48,3250,229,5,726,106,2147,212
49,R49,3121,95,18,295,23,5047,246
50,R50,2695,323,7,0,0,1273,201
51,R51,3154,300,32,60,31,3155,117
52,R52,3133,322,17,361,65,300,175
53,R53,3071,72,12,778,99,2420,233
54,R54,2595,37,9,30,1,1442,220
55,R55,3188,52,8,268,-27,2791,225
56,R56,3052,325,11,268,61,2572,191
57,R57,3272,52,6,30,1,1077,223
58,R58,3243,317,13,450,205,3009,186
59,R59,2705,167,13,420,-30,511,231
60,R60,3315,324,2,485,84,3946,214
61,R61,3026,323,12,124,16,3254,188
62,R62,3126,182,24,342,72,3473,219
63,R63,3202,64,10,757,181,2552,230
64,R64,2947,175,26,175,34,297,224
65,R65,2693,64,10,319,21,361,230
66,R66,2798,18,10,300,36,1585,213
67,R67,3141,134,13,330,-12,2979,241
68,R68,2711,155,10,108,16,2308,231
69,R69,2637,61,10,0,0,1416,228
70,R70,3089,105,24,247,42,630,252
71,R71,2452,227,23,95,41,1419,182
72,R72,2550,134,21,150,28,1140,248
73,R73,3143,71,21,212,52,5189,238
74,R74,3287,280,13,912,177,1413,183
75,R75,2824,5,14,95,39,2310,201
76,R76,2886,108,20,360,90,841,249
77,R77,2949,63,3,518,-15,3424,222
