id,label,attr_0,attr_1,attr_2
1,R1,2978,28,8
2,R2,2983,131,4
3,R3,2941,98,24
4,R4,2834,15,36
5,R5,3244,315,12
6,R6,2905,330,17
7,R7,2822,350,9
8,R8,3277,77,10
9,R9,3203,5,19
10,R10,3188,177,12
11,R11,3037,74,14
12,R12,3248,165,39
13,R13,3370,206,15
14,R14,2707,140,18
15,R15,3244,355,3
16,R16,2531,148,16
17,R17,2921,22,8
18,R18,3245,21,14
19,R19,3001,53,7
20,R20,3179,187,15
21,R21,2693,284,4
22,R22,2791,42,11
23,R23,2133,70,23
24,R24,3147,198,18
25,R25,3125,41,11
26,R26,3050,50,25
27,R27,3133,83,16
28,R28,2936,154,28
29,R29,2840,145,22
30,R30,3158,311,10
31,R31,2936,120,34
32,R32,3286,84,21
33,R33,2900,84,14
34,R34,2847,33,19
35,R35,2936,63,17
36,R36,2998,40,18
37,R37,2900,172,10
38,R38,3187,66,8
39,R39,2428,281,19
40,R40,2807,234,7
41,R41,3101,346,4
42,R42,2903,304,29
43,R43,2970,200,15
44,R44,3206,92,6
45,R45,2894,152,5
46,R46,3211,275,5
47,R47,2976,14,19
48,R48,2962,85,9
49,R49,2988,61,11
50,R50,3265,297,7
51,R51,3011,101,18
52,R52,2943,99,11
53,R53,3345,88,11
54,R54,2793,121,16
55,R55,3021,66,19
56,R56,2873,176,25
57,R57,2930,74,12
58,R58,3062,273,9
59,R59,2766,319,10
60,R60,2968,32,14
61,R61,3150,173,9
62,R62,2812,111,9
63,R63,3219,49,9
64,R64,2546,142,23
65,R65,3288,221,15
66,R66,2988,298,11
67,R67,3254,197,19
68,R68,3263,17,12
69,R69,3328,84,22
70,R70,3066,203,22
71,R71,2816,353,10
72,R72,2974,278,12
73,R73,3065,156,11
74,R74,2768,26,14
75,R75,2545,154,19
76,R76,2993,299,14
77,R77,3376,98,10
78,R78,2501,0,6
79,R79,2849,254,10
80,R80,3131,329,1
81,R81,3181,111,12
82,R82,2990,181,14
83,R83,3184,10,4
84,R84,2803,185,21
85,R85,2802,332,8
86,R86,3288,156,17
87,R87,2930,319,14
88,R88,3093,339,7
89,R89,3084,82,10
90,R90,3026,329,21
