id,label,attr_0,attr_1,attr_2
1,R1,9700.6,9700.6,1496
2,R2,8831.4,8831.6,5843
3,R3,8596.4,8596.8,7017
4,R4,8205,8358.8,8359.0
5,R5,2135,9572.8,9573.2
6,R6,8429.2,8429.0,7855
7,R7,8399.8,8399.6,8001
8,R8,6044,8791.0,8791.2
9,R9,8620.6,6898,8620.2
10,R10,8612.8,6935,8613.2
11,R11,2191,9561.8,9562.0
12,R12,8880.6,8880.2,5598
13,R13,8507.6,8507.6,7462
14,R14,9291.6,9291.2,3543
15,R15,9556.2,9556.2,2218
16,R16,9145.8,4272,9145.8
17,R17,8649.0,8649.0,6755
18,R18,9937.4,9937.4,314
19,R19,613,9877.6,9877.6
20,R20,8820.8,8820.6,5897
21,R21,8821.4,8821.4,5894
22,R22,9490.8,9491.0,2545
23,R23,8321.0,8321.0,8394
24,R24,7131,8573.6,8574.0
25,R25,8121.0,8121.2,9394
26,R26,8665.2,6674,8665.2
27,R27,7572,8485.4,8485.4
28,R28,9526,8095.0,8095.0
29,R29,7856,8428.8,8429.0
30,R30,8658,8268.6,8268.4
31,R31,1360,9727.8,9727.8
32,R32,8473.6,7633,8473.4
33,R33,9439.4,2804,9439.0
34,R34,9440.6,9440.8,2797
35,R35,8680.0,6599,8680.2
36,R36,8013.0,9935,8013.0
37,R37,9717.4,9717.0,1414
38,R38,7051,8589.6,8589.8
39,R39,8144.2,9280,8144.0
40,R40,9987.2,65,9986.8
41,R41,9512.2,2439,9512.2
42,R42,9709.6,1452,9709.4
43,R43,8723.6,6382,8723.8
44,R44,3384,9323.2,9323.4
45,R45,9323.4,9323.6,3383
46,R46,8631.4,8631.8,6842
47,R47,7690,8462.2,8462.2
48,R48,6115,8776.8,8776.8
49,R49,9790.0,9789.8,1051
50,R50,1894,9621.4,9621.0
51,R51,9672,8065.8,8065.8
52,R52,9920.2,399,9920.2
53,R53,8500.4,8500.6,7498
54,R54,4154,9169.2,9169.4
55,R55,9257.8,9257.4,3712
56,R56,9071.0,9071.0,4646
57,R57,9590.6,9590.4,2048
58,R58,9504.8,9504.4,2477
59,R59,8648.2,8648.2,6760
60,R60,9325.0,3374,9325.4
61,R61,7345,8530.8,8531.2
62,R62,9997.0,9997.0,14
63,R63,9118.2,4408,9118.4
64,R64,8475.2,8474.8,7625
65,R65,4897,9020.8,9020.4
66,R66,8930.0,5350,8930.0
67,R67,9867.6,9867.4,663
68,R68,8360,8327.8,8328.2
69,R69,7777,8444.6,8444.8
70,R70,7712,8457.6,8457.4
71,R71,9221.2,3894,9221.2
72,R72,6226,8754.8,8754.6
73,R73,9308.0,3461,9308.0
74,R74,9288.0,9287.8,3560
75,R75,8043.6,8043.2,9783
76,R76,9572.2,9572.0,2139
77,R77,9204.2,3979,9204.4
78,R78,8150.0,9249,8150.0
79,R79,9638.2,1809,9638.4
80,R80,8779.0,8779.0,6105
81,R81,9281.6,9281.6,3592
82,R82,8052.4,8052.2,9738
83,R83,9035.6,4823,9035.6
84,R84,9056.0,4720,9056.2
85,R85,8511.4,8511.4,7442
86,R86,9770.4,9770.2,1148
87,R87,8187.6,9062,8187.8
88,R88,3399,9320.2,9320.0
89,R89,2857,9428.8,9428.4
90,R90,8969.2,8969.2,5153
91,R91,7609,8478.2,8478.0
92,R92,8935.6,8935.6,5323
93,R93,9090.4,4549,9090.4
94,R94,6460,8708.2,8708.0
95,R95,8588.8,7056,8588.8
96,R96,7295,8541.0,8541.2
97,R97,9321.2,3395,9321.0
98,R98,9674.6,9674.2,1628
99,R99,8632,8273.4,8273.4
100,R100,4355,9129.0,9129.0
101,R101,8565.8,8565.8,7170
102,R102,5766,8846.6,8847.0
103,R103,8109.0,9454,8109.2
104,R104,9938.4,309,9938.0
105,R105,3212,9357.6,9357.8
106,R106,3498,9300.2,9300.2
107,R107,9485.4,2573,9485.6
108,R108,9926.6,9927.0,366
109,R109,9066.4,9066.2,4669
110,R110,5069,8986.0,8986.2
111,R111,756,9848.8,9849.0
112,R112,9996.4,18,9996.6
113,R113,8082.8,9585,8082.8
114,R114,6819,8636.2,8636.0
115,R115,2969,9406.4,9406.0
116,R116,8426.2,7868,8426.2
117,R117,9786.2,1069,9786.2
118,R118,4918,9016.4,9016.4
119,R119,9239.8,3800,9240.2
120,R120,9396.4,9396.6,3017
121,R121,9559.2,9559.2,2203
122,R122,6125,8774.8,8775.2
123,R123,8375.8,8120,8376.0
124,R124,9264.0,9264.0,3679
125,R125,8669.2,6653,8669.6
126,R126,9415.4,9415.2,2923
127,R127,3150,9370.2,9370.2
128,R128,8541.6,7293,8541.4
129,R129,4702,9059.6,9059.4
130,R130,8408.2,8408.2,7958
131,R131,9515.8,2421,9516.0
132,R132,5348,8930.6,8930.4
133,R133,8500.4,7498,8500.6
134,R134,9786.0,1069,9786.4
135,R135,8522.8,7386,8522.6
136,R136,9400,8120.2,8119.8
137,R137,6028,8794.2,8794.2
138,R138,9767.4,1162,9767.6
139,R139,6240,8752.0,8751.8
140,R140,9267.0,3665,9267.0
141,R141,9203.2,3985,9202.8
142,R142,8442.4,8442.6,7788
143,R143,3295,9341.2,9341.0
144,R144,8858.4,5709,8858.2
145,R145,8938.0,5311,8937.6
146,R146,9410.6,9410.8,2947
147,R147,1009,9798.4,9798.0
148,R148,1387,9722.8,9722.6
149,R149,9145.2,4275,9145.0
150,R150,7909,8418.2,8418.0
151,R151,8451.2,7745,8450.8
152,R152,9001.0,9000.8,4995
153,R153,8881.2,8881.4,5594
154,R154,3465,9307.2,9307.0
155,R155,8322.0,8391,8321.8
