id,label,attr_0,attr_1,attr_2
1,R1,9873.2,9873.0,634
2,R2,8092.6,9537,8092.8
3,R3,2033,9593.4,9593.2
4,R4,9794,8041.4,8041.2
5,R5,8049,8390.2,8390.4
6,R6,9229.6,9229.6,3852
7,R7,9815.6,921,9815.6
8,R8,8675.0,8675.4,6624
9,R9,9501.4,2492,9501.6
10,R10,8579.4,7103,8579.6
11,R11,9103,8179.6,8179.4
12,R12,9463.0,9463.4,2684
13,R13,9912.4,438,9912.2
14,R14,9962.6,186,9962.8
15,R15,9943.4,9943.4,283
16,R16,8046,8390.8,8390.6
17,R17,8319.2,8405,8319.0
18,R18,8359.4,8204,8359.4
19,R19,8924.6,5377,8924.8
20,R20,8816.8,5917,8816.8
21,R21,8318.6,8318.4,8408
22,R22,8166.6,8167.0,9166
23,R23,3348,9330.4,9330.6
24,R24,8359.6,8359.6,8201
25,R25,2111,9577.8,9578.0
26,R26,9687.2,9687.6,1563
27,R27,8561.0,8561.0,7196
28,R28,6841,8631.8,8632.0
29,R29,8639.0,6806,8638.8
30,R30,9677.4,1613,9677.4
31,R31,8012,8397.6,8397.4
32,R32,8052.4,9739,8052.4
33,R33,68,9986.4,9986.6
34,R34,9142.0,9142.0,4289
35,R35,8360.0,8199,8360.2
36,R36,8823.6,8823.6,5883
37,R37,8369.2,8369.2,8153
38,R38,8268.8,8269.0,8656
39,R39,8938.4,8938.4,5309
40,R40,9008.6,4957,9008.8
41,R41,9183.2,4085,9183.2
42,R42,9776.0,1120,9776.0
43,R43,9674.4,1628,9674.2
44,R44,8375.2,8375.2,8123
45,R45,9643.0,1784,9643.0
46,R46,939,9812.0,9812.2
47,R47,3991,9202.0,9201.6
48,R48,8103.8,8103.4,9482
49,R49,9421.2,9421.2,2893
50,R50,4853,9029.4,9029.6
51,R51,9423,8115.4,8115.4
52,R52,9286.2,3568,9286.6
53,R53,8229,8354.0,8354.4
54,R54,9536.8,2317,9536.4
55,R55,9742.8,1287,9742.4
56,R56,9352.0,3240,9351.8
57,R57,2814,9437.4,9437.2
58,R58,8245,8351.0,8350.8
59,R59,9161.8,4190,9162.2
60,R60,9173.0,9173.0,4135
61,R61,4200,9159.8,9160.0
62,R62,9865.6,673,9865.2
63,R63,8412.4,8412.6,7938
64,R64,9195.0,9194.8,4025
65,R65,9231.4,9231.0,3844
66,R66,5914,8817.0,8817.2
67,R67,8772.0,8772.2,6140
68,R68,8569.0,7154,8569.0
69,R69,8335.6,8335.2,8323
70,R70,3895,9221.0,9220.8
71,R71,8536.0,7320,8536.2
72,R72,8349.0,8255,8349.2
73,R73,9083.4,4583,9083.2
74,R74,9709.0,1454,9709.2
75,R75,9727.4,9727.0,1364
76,R76,8900.0,5500,8900.0
77,R77,9596.4,2019,9596.4
78,R78,9515.0,9515.2,2424
79,R79,7609,8478.2,8478.0
80,R80,7891,8421.6,8421.8
81,R81,278,9944.2,9944.4
82,R82,9840.6,9840.6,798
83,R83,9078.0,4611,9077.6
84,R84,9147.0,9147.2,4264
85,R85,9476.2,2620,9476.2
86,R86,9294.6,9294.6,3528
87,R87,8124.8,9377,8124.4
88,R88,5864,8827.0,8827.0
89,R89,9207.6,9207.4,3962
90,R90,9748.6,1258,9748.4
91,R91,6995,8601.0,8601.0
92,R92,9803.2,983,9803.6
93,R93,9723.2,1384,9723.0
94,R94,8032.0,8031.8,9841
95,R95,8173,8365.6,8365.6
96,R96,699,9860.4,9860.4
97,R97,9095.2,9095.0,4525
98,R98,8710.2,8710.4,6449
