id,label,attr_0,attr_1
1,R1,2034,6958
2,R2,5907,7235
3,R3,8326,7882
4,R4,9591,4957
5,R5,1679,8507
6,R6,9786,8413
7,R7,2702,8705
8,R8,2279,7080
9,R9,9453,3367
10,R10,8790,1474
11,R11,6044,7921
12,R12,1324,739
13,R13,674,5064
14,R14,6109,1057
15,R15,9441,4356
16,R16,3463,8285
17,R17,3634,7921
18,R18,1115,3063
19,R19,3603,168
20,R20,244,1792
21,R21,8562,8466
22,R22,3731,7380
23,R23,6987,9036
24,R24,2649,6431
25,R25,6712,2545
26,R26,8940,7577
27,R27,7822,3726
28,R28,8533,8812
29,R29,8580,711
30,R30,7673,5663
31,R31,7665,5712
32,R32,3373,3718
33,R33,5692,4943
34,R34,5664,2782
35,R35,1800,811
36,R36,1997,8961
37,R37,3798,7691
38,R38,9448,7520
39,R39,794,8194
40,R40,6567,9306
41,R41,2833,3721
42,R42,1705,6173
43,R43,6090,9793
44,R44,6605,3614
45,R45,5615,6659
46,R46,6040,5436
47,R47,2327,676
48,R48,5292,2843
49,R49,3636,4720
50,R50,8422,2864
51,R51,714,9195
52,R52,8203,2617
53,R53,7168,4439
54,R54,7889,7799
55,R55,1436,1566
56,R56,3914,3538
57,R57,5399,2059
58,R58,9812,8126
59,R59,7744,7399
60,R60,2660,8683
61,R61,8779,2867
62,R62,5044,9285
63,R63,8341,9857
64,R64,5177,7678
65,R65,4108,4608
66,R66,4660,795
67,R67,2164,8444
68,R68,6908,4461
69,R69,8600,4545
70,R70,8521,125
71,R71,8182,2208
72,R72,7058,6506
73,R73,6080,618
74,R74,2368,3421
75,R75,7371,2706
76,R76,9022,5582
77,R77,8346,7340
78,R78,1365,4177
79,R79,6224,1996
80,R80,6704,65
81,R81,4537,3764
82,R82,3269,4208
83,R83,9970,2137
84,R84,8601,5948
85,R85,3132,1244
86,R86,7094,3476
87,R87,2254,2603
88,R88,3855,1038
89,R89,3351,785
90,R90,7512,2274
91,R91,1819,4837
92,R92,6585,3854
93,R93,2579,4536
94,R94,7353,2910
95,R95,6107,6383
96,R96,1566,4999
97,R97,5571,2163
98,R98,5383,413
99,R99,8917,8410
100,R100,6092,8625
101,R101,700,8618
102,R102,6814,9457
103,R103,9239,3296
104,R104,4138,6278
105,R105,3265,8082
106,R106,1674,2896
107,R107,4104,5356
108,R108,4894,8779
109,R109,7673,2608
110,R110,5368,9782
111,R111,8845,4022
112,R112,3735,4042
113,R113,3941,8089
114,R114,2803,7427
115,R115,9927,2182
116,R116,3344,7199
117,R117,4341,1208
118,R118,9919,4295
119,R119,804,8540
120,R120,923,3290
121,R121,6790,6237
122,R122,1546,722
123,R123,5447,3949
124,R124,1150,4288
125,R125,9283,2238
126,R126,2460,5517
127,R127,7288,7403
128,R128,8866,6922
129,R129,4583,6406
130,R130,3259,1609
131,R131,2235,2081
132,R132,3037,2233
133,R133,6433,2033
134,R134,5749,2066
135,R135,4889,2871
136,R136,9060,9580
137,R137,381,6480
138,R138,5193,545
139,R139,6220,5108
140,R140,9163,7631
141,R141,2224,7033
142,R142,3890,7121
143,R143,7635,268
144,R144,859,8382
145,R145,5969,4029
146,R146,214,7896
147,R147,5159,3287
148,R148,2061,6851
149,R149,7750,9589
150,R150,1621,9638
151,R151,5005,1352
152,R152,9074,7418
153,R153,4785,1161
154,R154,5820,5250
155,R155,8014,4598
156,R156,7617,8707
157,R157,1535,3568
158,R158,296,6378
159,R159,5110,4944
160,R160,689,9495
161,R161,4597,2054
162,R162,8366,4326
163,R163,3670,717
164,R164,8136,8827
165,R165,1879,8172
166,R166,4613,2160
167,R167,2537,5926
168,R168,7500,6063
169,R169,1176,9073
170,R170,5220,6896
171,R171,4285,8441
172,R172,1391,5311
173,R173,723,2907
174,R174,3381,4254
175,R175,6050,2941
176,R176,5928,8511
177,R177,1918,9278
178,R178,9917,3523
179,R179,4104,5294
180,R180,9920,7011
181,R181,3999,204
182,R182,7067,7935
183,R183,3892,7041
184,R184,8616,4344
185,R185,3199,1451
186,R186,6638,8510
187,R187,3936,3310
188,R188,1622,8202
189,R189,2903,6588
190,R190,5892,1998
191,R191,5690,3247
192,R192,100,5406
193,R193,7871,2722
194,R194,9560,6371
195,R195,7878,8358
196,R196,2581,8673
197,R197,6036,6400
198,R198,3286,7206
199,R199,158,317
200,R200,2889,6666
201,R201,8046,2541
202,R202,1382,5029
203,R203,6796,8517
204,R204,2391,610
205,R205,773,4741
206,R206,4430,2982
207,R207,7742,2020
208,R208,5807,7475
209,R209,8783,4112
210,R210,1678,692
211,R211,8084,4301
212,R212,7233,2663
213,R213,4561,7237
214,R214,8237,7091
215,R215,8102,6042
216,R216,3291,5375
217,R217,4715,2408
218,R218,5660,9883
219,R219,682,6332
220,R220,416,7963
221,R221,4235,4257
222,R222,4877,8574
223,R223,6061,3640
224,R224,3394,2117
225,R225,2279,1968
226,R226,9513,4245
227,R227,9824,48
228,R228,730,781
229,R229,893,4271
230,R230,5264,6353
231,R231,4700,9416
232,R232,1629,1220
233,R233,4879,1916
234,R234,6627,9781
