id,label,attr_0,attr_1,attr_2,attr_3,attr_4
1,R1,9987,7765,6434,5638,3829
2,R2,8982,5469,5136,2868,631
3,R3,5385,2747,4632,1362,8962
4,R4,2930,3671,9442,3305,8196
5,R5,8857,5873,7981,9908,5331
6,R6,2580,321,130,5606,4314
7,R7,7580,8570,4898,9577,6590
8,R8,5603,4795,3265,9081,8736
9,R9,9361,3808,9900,3191,3148
10,R10,8602,4430,4326,8130,3901
11,R11,4982,2296,4784,9559,6375
12,R12,5461,5744,5153,348,9314
13,R13,3565,1616,7413,5533,2267
14,R14,7644,184,1797,7409,5897
15,R15,3219,4237,6856,3955,5515
16,R16,6219,7016,4428,7794,7416
17,R17,5520,9178,1649,1938,2878
18,R18,4946,1066,6450,2616,2362
19,R19,8649,8584,3269,6815,512
20,R20,7434,9677,9977,4831,1635
21,R21,7280,1496,1582,7263,9483
22,R22,148,5468,8247,1663,956
23,R23,8194,2231,8258,8224,157
24,R24,8247,4173,7955,8467,5423
25,R25,8048,5514,3683,3572,9255
26,R26,5383,8701,2382,8538,1541
27,R27,2320,3558,7865,7952,2358
28,R28,3758,1515,796,4419,5236
29,R29,3204,8005,7607,3906,5289
30,R30,1294,5072,1801,3563,9526
31,R31,9976,5940,5030,2710,3033
32,R32,4955,4576,3620,4667,7645
33,R33,8833,535,7877,8782,5620
34,R34,882,7346,4328,7812,3278
35,R35,5452,8984,8350,5446,4247
36,R36,1204,2139,8216,9591,8865
37,R37,7797,5264,7495,2776,8857
38,R38,3217,932,7562,2267,4980
39,R39,8027,8799,4085,3058,9952
40,R40,4531,9490,979,7462,5699
41,R41,5534,410,8288,6516,189
42,R42,4251,8031,5774,7814,9486
43,R43,4617,679,2374,371,1637
44,R44,540,9481,2830,6100,7279
45,R45,2929,2737,6400,7390,3067
46,R46,3195,2864,5929,9207,7740
47,R47,3568,6032,4372,2487,8910
48,R48,5677,6276,9882,8224,3397
49,R49,5496,2279,5070,1904,5366
50,R50,2001,65,4891,939,5048
51,R51,8550,8752,5479,9302,7374
52,R52,9451,4702,3422,265,7474
53,R53,2531,492,3950,5550,1514
54,R54,284,1568,2792,9801,941
55,R55,1455,7594,6433,9995,8152
56,R56,8555,4049,2641,8116,8278
57,R57,7960,902,2006,9162,7814
58,R58,271,3193,5412,7319,4333
59,R59,8690,5169,4105,5241,1291
60,R60,951,5723,3531,5606,780
61,R61,7494,6155,7394,1659,2276
62,R62,2988,6532,8760,7250,3754
63,R63,839,9410,5221,2869,328
64,R64,1300,3161,7467,4237,5532
65,R65,602,1876,3140,8215,4046
66,R66,9734,454,9521,6487,9973
67,R67,8927,7314,827,5333,590
68,R68,2334,7851,4681,403,2256
69,R69,5097,31,299,4337,5526
70,R70,8143,5113,791,3683,9292
71,R71,3423,2511,5663,7425,4912
72,R72,9856,6633,2043,573,1215
73,R73,207,9356,9236,4989,983
74,R74,3489,9265,6691,5074,6273
75,R75,1116,92,4050,7108,4620
76,R76,6555,6441,6900,2088,4256
77,R77,7857,4794,4023,7984,7384
78,R78,3260,2080,5601,5313,9419
79,R79,8923,3217,5817,3673,7089
80,R80,4991,485,6954,908,7759
81,R81,4131,4372,6880,7986,1124
82,R82,7367,8660,8426,3236,6575
83,R83,8788,2118,9330,7489,7617
84,R84,57,1191,980,8303,6470
85,R85,1787,151,9757,5311,5055
86,R86,8078,7628,3914,1677,2219
87,R87,5011,5015,8933,8708,2984
88,R88,8494,7419,2204,5892,3206
89,R89,6151,6761,7840,3112,2196
90,R90,8265,197,2871,8918,1059
91,R91,8591,3065,2379,2516,5439
92,R92,6923,3734,8039,1158,925
93,R93,6141,9593,1293,9850,8755
94,R94,6762,4339,2079,9156,5147
95,R95,9563,4275,2048,9365,9566
96,R96,5969,607,7853,4931,8065
97,R97,8325,8739,4320,8657,1589
98,R98,5877,1881,3775,6152,6225
99,R99,1234,9456,8371,6945,8268
100,R100,2006,5175,3088,3484,7301
101,R101,7865,8498,7017,6253,1551
102,R102,8690,7740,5127,6913,9566
103,R103,9410,8961,4510,2694,2717
104,R104,1964,7558,702,5018,4734
105,R105,4461,7667,1481,669,6102
106,R106,1302,3921,6893,4027,6333
107,R107,2723,1943,1827,4391,3970
108,R108,8018,8765,2530,2988,4014
