id,label,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6
1,R1,200,2055,4587,6361,4545,4080,3637
2,R2,215,4173,310,8936,2668,4478,956
3,R3,3795,4477,2707,5411,4616,2282,3711
4,R4,1027,7725,3156,7085,4550,6358,3682
5,R5,7905,9325,3833,4202,8860,375,8136
6,R6,1228,2224,67,9976,2127,8261,3203
7,R7,1519,6834,3721,659,2371,3371,2796
8,R8,7632,2523,7066,5744,748,524,5018
9,R9,2967,6703,6542,5583,3438,3193,4387
10,R10,4951,2187,667,402,4333,5119,7754
11,R11,2276,7703,2571,87,8139,8726,1244
12,R12,2637,5200,2112,4584,4686,9833,8042
13,R13,9326,2144,523,7923,4878,6513,322
14,R14,702,5039,9141,7012,3778,814,3323
15,R15,1651,5928,9316,3669,6957,1237,4993
16,R16,6884,5236,414,8082,1569,7492,7281
17,R17,9823,4176,921,860,9425,253,2940
18,R18,5373,8790,1767,8550,44,409,3999
19,R19,2526,3472,46,4412,19,4667,8493
20,R20,8755,8603,2794,2788,7659,2584,886
21,R21,5176,9868,1145,3901,8136,634,4821
22,R22,7641,734,4764,8474,879,3626,7667
23,R23,449,1311,5484,9845,6083,1048,2398
24,R24,3478,8663,9327,7424,1664,721,194
25,R25,8359,6558,1335,8787,533,4425,7013
26,R26,4327,4988,2141,2322,6547,2779,9965
27,R27,1254,739,5212,3942,2668,2115,4007
28,R28,4214,2219,1753,3097,4454,8153,1978
29,R29,4611,9900,7546,8423,7850,6159,9718
30,R30,5569,497,9705,558,803,7539,807
31,R31,1028,9257,3531,5482,2591,1803,1941
32,R32,1232,7782,6150,5016,4152,6630,4129
33,R33,1717,4612,3938,2704,234,3481,2850
34,R34,7228,6425,9107,4573,9142,9439,6510
35,R35,6909,5333,3056,2655,3467,8441,4725
36,R36,645,5803,862,6827,8832,1378,1662
37,R37,6587,8037,4942,9797,5494,4727,5508
38,R38,7791,3443,6613,8102,3072,5425,4189
39,R39,2499,7739,6343,6508,4940,7607,9458
40,R40,8331,2089,4723,4914,6996,752,8282
41,R41,1553,5152,8782,8129,1387,4903,8225
42,R42,7507,2789,6562,6481,1531,839,7048
43,R43,498,5421,4607,6175,1625,6250,594
44,R44,5532,2376,2286,2790,2217,7327,1965
45,R45,8479,5925,3537,1273,2357,7776,5503
46,R46,8638,353,663,9748,6389,1925,8158
47,R47,3371,3958,5217,6263,1524,4551,5858
48,R48,9812,2769,1270,9481,8701,875,3991
49,R49,6344,567,2466,8313,1940,3112,2100
50,R50,3696,276,8038,3013,5445,5545,546
51,R51,2574,3990,6553,2731,1227,4679,3570
52,R52,626,1298,6919,773,3793,5151,2612
53,R53,6069,5804,4268,3313,8183,4168,9942
54,R54,2777,3304,7454,8901,6243,8741,3753
55,R55,8197,2631,5211,2957,4868,3668,3646
56,R56,4928,8971,3315,7994,7468,7704,9892
57,R57,2861,8452,6540,8490,7115,735,6884
58,R58,1494,6139,7831,3803,6504,6199,7002
59,R59,8524,7450,7397,820,9383,2584,3256
60,R60,9118,9539,7160,2076,4271,9365,287
61,R61,6992,4657,8791,7143,8870,7934,7308
62,R62,6750,9260,6019,2595,7933,499,8955
63,R63,568,8856,9529,6563,8544,7060,4066
64,R64,2733,228,8094,198,3050,5294,7746
65,R65,5863,9227,2588,5473,890,2445,9744
66,R66,2451,1484,2397,5769,1156,7595,4666
67,R67,6989,9757,2682,3441,8845,6858,9192
68,R68,6889,7622,5426,3718,2436,2585,8363
69,R69,5146,4904,574,2023,7634,9284,6679
70,R70,7835,2915,7470,9967,3072,1530,4898
71,R71,6880,5825,9117,678,281,3004,2725
72,R72,1674,6297,6748,6642,5818,2139,8795
73,R73,5868,9298,4916,9447,8550,5003,5949
74,R74,8590,6825,9963,2323,679,7720,9780
75,R75,8271,9273,5126,5304,2556,4793,9927
76,R76,9893,3721,162,1334,817,9265,9597
77,R77,272,1054,5970,7519,5831,2413,5404
78,R78,5163,2834,1868,3481,9454,1901,6825
79,R79,5541,3949,9347,7940,4899,735,9379
80,R80,7289,5721,6012,6102,1488,7969,180
81,R81,2086,6359,1567,65,3797,7361,8022
82,R82,2088,3538,8141,3171,3222,2535,2943
83,R83,6012,6942,8760,6083,8154,1315,2185
84,R84,9060,2821,3758,215,1263,6199,3323
85,R85,4562,7932,2165,3508,676,628,9203
86,R86,6638,1889,5524,8811,1812,8744,7824
87,R87,604,7885,5751,2849,660,4070,1788
88,R88,6593,8680,1137,7999,2109,7095,4679
89,R89,3601,1150,3649,9129,6983,2444,2912
90,R90,8528,4117,2450,6694,473,3163,2970
91,R91,8407,8552,8596,7321,1031,9186,1499
92,R92,6090,553,7872,5984,718,3260,3318
93,R93,4852,6860,6274,7293,1650,8601,6852
94,R94,9218,4668,7030,4493,718,472,9248
95,R95,8003,8806,6523,9263,3415,9917,1104
96,R96,3402,1824,3795,3925,8136,9325,2471
97,R97,7118,188,9861,7848,860,3287,1175
98,R98,7406,7792,1559,738,4972,9494,5884
99,R99,6203,2234,8554,5526,4092,132,570
100,R100,4463,5651,5630,1570,1953,461,7808
101,R101,454,9300,2230,6974,1251,5907,3003
102,R102,7474,1462,8929,8620,7524,150,5146
103,R103,6911,6733,4287,8186,7896,4968,5968
104,R104,6406,5254,8960,2701,5299,7648,6257
105,R105,2399,8731,7401,8058,4161,8609,9573
106,R106,4308,3075,5263,1729,8445,9156,5080
107,R107,6207,7961,6663,2015,9562,3276,9463
108,R108,1892,7833,7758,9667,3858,8384,2164
109,R109,5887,3929,9345,721,6014,9325,9792
110,R110,9838,8940,769,6715,1735,7198,944
111,R111,972,1282,5269,5760,7873,6228,7904
112,R112,4138,8901,9033,1038,8894,8315,6760
113,R113,7690,7919,6845,3276,9332,5374,2595
114,R114,7572,8777,6465,985,5539,7068,8474
115,R115,3883,3590,4338,9716,1651,7017,3847
116,R116,6496,3171,8126,3392,2628,6531,9944
117,R117,8066,8588,5904,6839,7948,6571,2638
118,R118,558,1305,5734,2743,2181,5038,1842
119,R119,5169,8055,1752,6379,5492,7679,9428
120,R120,3706,248,5189,7254,9607,9485,4214
121,R121,2361,3182,6873,6223,5016,7964,1553
122,R122,4396,5871,2791,1869,2069,8986,1295
123,R123,141,2766,6780,5986,8016,6407,7517
124,R124,2339,5853,6002,8173,9181,1667,8922
125,R125,8397,8392,7586,2645,1893,9675,5218
126,R126,2529,2213,6434,5528,6337,3696,2475
127,R127,6220,4203,4943,9736,4765,5382,5644
128,R128,5319,8917,9533,6567,2034,9571,8873
129,R129,7319,2989,5344,7281,2843,7070,9894
130,R130,6702,3383,8891,1573,7716,6794,7043
131,R131,9433,6501,2781,877,75,3284,4734
132,R132,7101,4917,8926,3497,6843,1189,6513
133,R133,6686,6413,9346,5001,6760,7762,3789
134,R134,9804,3522,65,2117,5427,8071,1199
135,R135,3464,4128,9127,9629,6686,7803,1683
136,R136,8497,3686,5475,1492,6949,7609,5651
137,R137,1522,2437,4338,572,8459,5153,1739
138,R138,5604,883,9138,2670,4516,7769,576
139,R139,6564,4173,2246,8474,6140,8296,7497
140,R140,3516,2855,8772,9731,426,4121,1377
141,R141,1074,289,1278,7139,1510,6782,6454
142,R142,8657,3447,2241,924,1711,8098,5817
143,R143,9575,7287,6874,4698,5952,1716,5854
144,R144,7414,662,8205,92,3670,5557,5658
145,R145,476,3452,1963,9952,7579,3047,8514
146,R146,3009,6816,9871,9614,6080,5059,4754
147,R147,9087,4918,9216,9752,1266,3107,4797
148,R148,310,7475,4030,4426,7681,3243,7627
149,R149,4372,9162,1403,4261,2961,5591,2216
150,R150,1701,3241,8025,1699,7985,7500,7525
151,R151,4365,9110,2172,4008,5326,2653,7661
152,R152,2392,4519,7083,7838,9773,5748,9829
153,R153,5296,2772,8933,9516,1125,2232,8694
154,R154,8691,2190,2035,9902,9054,5058,4521
155,R155,4036,4925,6047,1242,7879,9735,3412
156,R156,6608,9831,59,2724,3904,4702,3302
157,R157,6417,2558,6088,2438,4307,887,4462
158,R158,7612,9604,940,9227,6895,1265,6324
159,R159,7379,2180,1115,1385,1869,6940,3665
160,R160,1764,2214,2481,2955,1810,8328,2245
161,R161,2913,520,2203,4927,4575,807,9255
162,R162,2302,9354,2920,4296,4604,6706,9666
163,R163,1546,1320,2505,4019,1516,8480,6603
164,R164,3643,3905,1932,8228,3429,1245,8491
165,R165,6358,4535,3242,5352,8721,3779,5191
166,R166,6623,4719,7000,8066,8528,4846,9984
167,R167,7661,8303,9789,746,6084,1854,241
168,R168,9118,5499,6217,6119,7194,6701,6803
169,R169,6589,9301,7701,1007,4038,7543,6783
170,R170,4999,6638,8684,9522,9474,4135,4157
171,R171,709,8267,7895,5494,1494,6349,3432
172,R172,3818,5109,5159,8520,1006,7505,2356
173,R173,7440,321,4824,8342,1641,9117,2341
174,R174,2655,7412,8047,6196,3306,2106,6740
175,R175,5555,7442,8757,6447,4542,9431,9052
176,R176,7494,3848,9570,2143,311,7902,9039
177,R177,5879,9220,8561,9269,2868,9287,7648
178,R178,7026,2755,4140,7688,441,3491,2572
179,R179,3463,6708,7647,6217,8023,1312,4507
180,R180,5060,131,887,5087,6442,7016,9289
181,R181,3713,846,7478,1412,7040,6162,693
182,R182,4684,7342,2734,7082,5492,893,7281
183,R183,2894,7463,7287,8339,3618,8595,2445
184,R184,2959,2326,467,3319,904,6173,6114
185,R185,6237,7430,417,9112,9594,2610,2484
186,R186,1058,4020,1545,6487,1288,2748,1157
187,R187,7942,416,478,1936,5951,7279,9117
188,R188,100,5122,7868,6498,6941,4320,5597
189,R189,6691,6625,6822,8436,7485,4229,9456
190,R190,8442,8353,467,6064,715,5244,3371
191,R191,6457,2760,8323,654,2120,5873,2535
192,R192,10,1338,9552,6873,8527,5116,1177
193,R193,1642,3006,7824,2347,8299,417,3219
194,R194,7061,3215,2585,4614,4595,1816,145
195,R195,2732,4041,1826,2257,8119,4941,8434
196,R196,1064,6151,2561,508,3505,6817,713
197,R197,7340,5758,5177,898,6586,2282,8852
198,R198,7426,609,3505,4525,5926,817,8867
199,R199,4247,8564,7818,6668,6114,8203,8600
200,R200,3840,2601,1955,5218,1560,7181,445
201,R201,8268,2019,6865,5248,3112,972,167
202,R202,8703,3832,2921,5537,3680,4861,7568
203,R203,8719,5268,6270,666,3546,9693,7768
204,R204,5773,5328,8027,4026,9622,4486,2163
205,R205,2011,6446,1952,5406,8977,8709,4850
206,R206,3882,8852,3439,3559,376,2686,7388
207,R207,6225,2807,5252,3156,945,4700,2922
208,R208,5240,528,4315,8891,7232,2277,4587
209,R209,3969,9347,9263,8594,4639,5474,1728
210,R210,624,7628,4632,7650,8835,5220,9023
211,R211,6585,7244,7395,1758,862,5858,5252
212,R212,9303,1352,2053,604,8712,3656,6105
213,R213,5240,4265,5018,5314,6274,5376,2221
214,R214,4137,4717,8629,764,7560,1296,738
215,R215,6160,5900,8096,1651,9674,1561,1830
216,R216,3860,9312,6323,8708,98,1005,5540
217,R217,4645,5178,4634,1592,2216,32,8443
218,R218,8805,5974,619,1706,36,776,8174
219,R219,142,9433,6597,9302,160,2452,7918
220,R220,7109,5328,2482,1626,1498,2093,5817
221,R221,7681,4782,1176,5563,5987,5701,202
222,R222,2223,1401,5212,4781,3757,8665,441
223,R223,5741,235,3878,8881,4862,6593,1899
224,R224,9377,6530,9056,4446,6620,4340,1888
225,R225,57,4992,9300,8854,6759,8291,7756
226,R226,7329,9745,6885,5255,444,9141,94
227,R227,5712,5270,2406,5006,9639,2972,3999
228,R228,2670,4486,4062,2732,1457,5123,7895
229,R229,1786,9348,3175,6916,813,417,5651
230,R230,4455,2729,4566,7986,6165,3102,9674
231,R231,810,1118,3003,9456,4642,1054,940
232,R232,5846,1073,4543,8860,5582,6741,1022
233,R233,77,1623,7761,8338,309,2653,9079
234,R234,9372,8268,3658,9505,156,1370,1151
235,R235,6305,5463,1554,3823,2655,1800,7782
236,R236,5493,1141,8333,3321,2089,8086,8422
237,R237,5825,5965,1368,977,2055,33,7884
238,R238,1421,1467,1166,5075,2792,634,7198
239,R239,945,903,556,1085,5592,2969,3191
240,R240,138,5088,7678,7239,4937,8313,5286
241,R241,523,60,7873,5268,1422,5056,117
242,R242,1610,46,7189,6744,8443,3608,4356
243,R243,7599,7223,4233,7315,9337,2994,979
244,R244,6753,3589,4524,6858,8079,5819,4351
245,R245,7657,6047,5908,3576,5227,4951,5291
246,R246,9276,4295,8553,5133,2763,1395,6715
247,R247,9509,9860,493,9327,9831,1468,6134
248,R248,5195,2415,508,76,4352,4630,7676
249,R249,8217,6958,8745,7826,1894,4512,4517
250,R250,3268,7303,195,6445,2604,3568,9315
251,R251,2793,6644,9551,8828,4454,3172,6007
252,R252,4302,6783,489,5981,9707,4816,1192
253,R253,3103,724,3743,3301,8282,2475,2493
254,R254,4006,785,1252,9694,288,554,164
255,R255,4078,4013,2594,746,4163,9594,6326
256,R256,5961,312,5445,4669,5836,9288,4769
257,R257,6002,3238,361,1755,5070,6724,3469
258,R258,7170,3980,3362,1571,912,4102,5318
259,R259,617,3276,9340,8166,2292,8014,6928
260,R260,9888,9932,6111,588,9902,885,632
261,R261,1254,2920,3951,2314,8193,680,1222
262,R262,8619,3665,83,7521,1315,1604,6571
263,R263,814,6954,9406,3030,886,312,2947
264,R264,9333,1352,8498,5893,7273,5572,1945
265,R265,3190,6146,9369,6946,3159,5147,4312
266,R266,1330,2483,4443,8868,9936,9602,986
267,R267,4947,4768,9290,7314,8351,473,6923
268,R268,2554,4422,5238,4736,2948,9983,3735
269,R269,8168,3776,3644,4884,4594,8309,8325
270,R270,9827,6351,9693,9262,939,4528,8534
271,R271,1536,9026,5771,4271,7321,9921,4156
272,R272,6332,4309,8630,9465,4241,7034,8739
273,R273,5168,6696,7383,6034,1004,3053,9647
274,R274,5429,4516,8973,2602,8316,7410,5521
275,R275,3146,1448,9141,8333,8206,8611,6803
276,R276,319,6528,8189,6943,105,7059,7593
277,R277,5823,8502,9110,7182,1753,193,9881
278,R278,1495,3118,6383,7707,6314,5490,2740
279,R279,297,5441,588,1530,4894,5521,6209
280,R280,7555,5160,2705,8406,688,8781,3064
281,R281,4294,2592,5567,5389,3896,8347,3554
282,R282,596,8486,8277,9471,5153,7660,9259
283,R283,1241,9407,152,4631,5367,9163,7054
284,R284,2348,3340,5108,1091,6290,3878,7531
285,R285,7688,1178,7219,4787,7328,5376,3179
286,R286,2105,8729,6203,7707,690,7108,5754
287,R287,2601,3954,65,5821,7408,4305,8166
288,R288,5340,4186,9794,5928,7878,9853,2599
289,R289,8284,9409,4953,2505,3872,4835,159
290,R290,8706,7006,8933,8115,4446,660,9355
291,R291,9506,3618,5926,387,7026,4968,8992
292,R292,3330,5470,2974,8633,360,6275,5072
293,R293,2315,7236,7475,9436,1783,8250,539
294,R294,9480,5161,4784,9773,1271,7793,2793
295,R295,4511,8623,4771,6651,4072,1084,8278
296,R296,1311,6992,3924,1744,1475,8337,9452
297,R297,9095,2156,7176,6837,3483,3682,3112
298,R298,9242,8448,5226,783,7698,975,4776
299,R299,8545,6248,73,2192,2008,8247,8193
300,R300,8862,638,2500,6935,2887,6628,2943
301,R301,1173,8523,1584,2243,2579,4816,6778
302,R302,549,3391,48,6446,4214,9476,3905
303,R303,2342,7228,7484,4601,3909,3274,2707
304,R304,6648,4397,6854,6182,4493,6477,6918
305,R305,7435,4996,9265,8391,5845,3919,7760
306,R306,4708,3543,1271,8431,9411,4983,3760
307,R307,1399,1961,1841,755,416,4258,7798
308,R308,4621,878,2100,3002,1120,9651,4182
309,R309,7719,4221,2877,1261,1350,2249,3005
310,R310,768,3668,5043,779,9786,1526,8666
311,R311,1790,7890,9437,7983,1423,7650,4275
312,R312,7916,9774,7982,7922,335,1877,4684
313,R313,2977,932,6776,7207,76,1889,4957
314,R314,9462,364,9048,6765,4875,1832,3852
315,R315,7410,9474,4326,5741,2522,5911,1331
316,R316,480,8181,2461,6845,2362,841,6846
317,R317,2251,1751,2488,6817,8539,2332,6807
318,R318,7267,3077,4007,5338,8414,5682,5914
319,R319,3255,9338,2360,6890,8261,6945,5505
320,R320,7104,4626,8272,520,767,8047,127
321,R321,9098,3243,9093,7072,2428,8496,3716
