id,label,attr_0,attr_1,attr_2
1,R1,3903,4806,632
2,R2,8653,4267,7611
3,R3,4416,8055,414
4,R4,7889,4605,2020
5,R5,7531,462,6264
6,R6,8650,8933,4203
7,R7,6901,9372,5557
8,R8,835,7404,8349
9,R9,6781,7216,8559
10,R10,3082,83,7904
11,R11,5882,4428,5367
12,R12,9558,4143,3064
13,R13,8395,6824,7033
14,R14,9555,4320,510
15,R15,9070,9646,4116
16,R16,9360,1730,8984
17,R17,6952,26,1216
18,R18,3115,7630,2687
19,R19,9281,7923,656
20,R20,5876,850,7961
21,R21,3872,6837,5948
22,R22,4402,2513,1
23,R23,8055,8627,6349
24,R24,3458,9765,3025
25,R25,6063,8428,9416
26,R26,5280,581,4644
27,R27,4866,7105,6646
28,R28,1609,263,2099
29,R29,2152,6602,1161
30,R30,5695,1346,2901
31,R31,3043,9946,1575
32,R32,2875,1427,4191
33,R33,8545,7479,8911
34,R34,1521,5338,1987
35,R35,9349,9170,5909
36,R36,3102,3943,3266
37,R37,6012,3313,7312
38,R38,1153,1548,766
39,R39,3688,3988,103
40,R40,2332,3285,606
41,R41,3382,9728,8826
42,R42,1913,7495,6381
43,R43,6227,8005,7228
44,R44,4197,5019,6428
45,R45,9673,9631,2091
46,R46,6459,515,3267
47,R47,8131,3488,9422
48,R48,755,3001,962
49,R49,4608,7724,450
50,R50,76,4034,1969
51,R51,2478,15,728
52,R52,287,9677,1682
53,R53,2108,8136,9112
54,R54,9093,1718,6532
55,R55,5289,3123,4857
56,R56,6523,7150,9259
57,R57,4395,3623,1561
58,R58,6233,4742,7684
59,R59,5170,9436,9336
60,R60,3139,9722,6323
61,R61,7195,2138,6232
62,R62,3982,3306,7505
63,R63,3899,9698,8877
64,R64,9216,3837,6175
65,R65,2551,9972,188
66,R66,4915,4007,2789
67,R67,5391,2436,4352
68,R68,6875,9031,4886
69,R69,7076,5648,3816
70,R70,3806,8820,6869
71,R71,2221,5101,1702
72,R72,5867,7054,865
73,R73,3923,5792,925
74,R74,9266,1045,739
75,R75,6190,3600,6340
76,R76,4378,2253,8387
77,R77,9587,9061,9439
78,R78,3059,6611,6970
79,R79,7038,3283,4515
80,R80,8935,2611,9019
81,R81,3779,2216,2476
82,R82,6746,6291,2471
83,R83,3596,7726,5749
84,R84,2247,7628,4069
85,R85,8860,9594,5280
86,R86,5671,5733,3871
87,R87,6920,6441,2595
88,R88,958,4673,8023
89,R89,3824,9301,738
90,R90,1019,4490,2131
91,R91,8352,9781,850
92,R92,6374,1973,7070
