id,label,attr_0,attr_1,attr_2
1,R1,2944,297,11
2,R2,3170,140,7
3,R3,2882,105,11
4,R4,3366,84,13
5,R5,3399,254,18
6,R6,3027,262,31
7,R7,2443,110,16
8,R8,2697,353,23
9,R9,2565,46,19
10,R10,2398,4,18
11,R11,2886,20,10
12,R12,3437,133,19
13,R13,3206,221,20
14,R14,3300,92,14
15,R15,3293,25,15
16,R16,3275,230,4
17,R17,2960,94,4
18,R18,2221,110,26
19,R19,2945,0,1
20,R20,3123,34,21
21,R21,3228,252,12
22,R22,2991,62,15
23,R23,3156,330,19
24,R24,3047,215,10
25,R25,3319,271,28
26,R26,2995,335,15
27,R27,2947,63,13
28,R28,3060,151,15
29,R29,2885,74,15
30,R30,3191,156,16
31,R31,2498,23,25
32,R32,3134,102,7
33,R33,3353,222,11
34,R34,3217,41,19
35,R35,3000,159,18
36,R36,2873,187,13
37,R37,3181,274,13
38,R38,2830,70,20
39,R39,2574,14,9
40,R40,2633,68,10
41,R41,2328,91,21
42,R42,3377,280,11
43,R43,2789,125,23
44,R44,2752,166,29
45,R45,2754,346,19
46,R46,2877,308,8
47,R47,3135,135,2
48,R48,3101,64,6
49,R49,2869,305,15
50,R50,3302,343,18
51,R51,2871,355,25
52,R52,3279,11,4
53,R53,2916,28,9
54,R54,3402,220,4
55,R55,2976,5,11
56,R56,2167,306,25
57,R57,2388,315,23
58,R58,3058,239,3
59,R59,2685,126,11
60,R60,2924,19,21
61,R61,3289,37,20
62,R62,3218,32,8
63,R63,2912,288,8
64,R64,3207,85,6
65,R65,3395,58,12
66,R66,2765,101,9
67,R67,3118,211,10
68,R68,2722,44,13
69,R69,2616,157,7
70,R70,2550,190,27
71,R71,2974,11,8
72,R72,3019,306,10
73,R73,2722,37,18
74,R74,3253,113,2
75,R75,2791,10,11
76,R76,3256,40,4
77,R77,3311,96,9
78,R78,2633,321,3
79,R79,2952,329,4
80,R80,2648,156,15
81,R81,2985,36,8
82,R82,2894,299,13
83,R83,2994,31,8
84,R84,3227,258,11
85,R85,3029,83,6
86,R86,2951,59,4
87,R87,3101,332,4
88,R88,3017,43,12
89,R89,3236,127,23
90,R90,3281,176,12
91,R91,3395,26,20
92,R92,3122,163,9
93,R93,2840,63,4
94,R94,3187,126,9
95,R95,3149,87,13
96,R96,3008,325,21
97,R97,2978,88,8
98,R98,3040,285,15
99,R99,3079,157,10
100,R100,2826,347,18
101,R101,3345,219,19
102,R102,2855,69,9
103,R103,3439,338,15
104,R104,3214,7,11
105,R105,2984,63,10
106,R106,3098,111,14
107,R107,3158,322,9
108,R108,3243,10,16
109,R109,3168,260,4
110,R110,3221,0,4
111,R111,3255,72,15
112,R112,3214,27,2
113,R113,3266,97,6
114,R114,3240,163,6
115,R115,2752,86,12
116,R116,2783,90,9
117,R117,3321,129,14
118,R118,2823,348,14
119,R119,2857,344,14
120,R120,2798,342,17
121,R121,2292,282,30
122,R122,2558,14,19
