id,label,attr_0,attr_1,attr_2,attr_3,attr_4
1,R1,2447,137,11,67,6
2,R2,3116,40,24,376,33
3,R3,2983,4,13,418,-48
4,R4,2952,58,15,283,36
5,R5,3033,40,7,644,53
6,R6,3187,192,24,108,42
7,R7,3165,77,11,295,10
8,R8,3227,342,12,0,0
9,R9,2551,324,27,108,49
10,R10,2868,139,16,212,29
11,R11,2711,297,23,120,44
12,R12,3116,20,8,124,9
13,R13,3200,119,24,240,-5
14,R14,2950,93,8,153,22
15,R15,3194,212,30,182,42
16,R16,2487,104,16,210,36
17,R17,2618,295,14,376,14
18,R18,3014,145,11,391,49
19,R19,3261,118,16,454,5
20,R20,2746,29,8,579,47
21,R21,2973,57,7,30,-6
22,R22,2972,247,33,513,41
23,R23,3130,255,16,234,-16
24,R24,3001,45,17,42,0
25,R25,2724,132,6,120,5
26,R26,3249,225,4,636,132
27,R27,2524,320,8,270,41
28,R28,3089,60,15,180,49
29,R29,2948,255,5,277,21
30,R30,3150,146,7,42,4
31,R31,3255,186,15,424,41
32,R32,2995,53,10,60,4
33,R33,3103,100,12,450,34
34,R34,2934,46,13,362,65
35,R35,3060,39,13,212,56
36,R36,2883,74,16,190,78
37,R37,2567,117,19,67,21
38,R38,3202,36,11,85,-18
39,R39,2928,51,16,270,44
40,R40,3290,187,18,845,76
41,R41,3079,278,22,134,29
42,R42,3217,180,2,400,33
43,R43,2890,11,22,330,102
44,R44,2973,155,9,95,11
45,R45,3066,15,18,532,207
46,R46,3060,52,11,127,23
47,R47,2566,2,6,201,21
48,R48,3272,307,14,258,54
49,R49,3147,252,9,124,4
50,R50,3311,349,5,60,7
51,R51,3234,39,12,210,39
52,R52,2976,319,10,569,56
53,R53,2894,209,7,30,-4
54,R54,2792,121,11,180,-9
55,R55,2721,13,23,30,12
56,R56,3101,333,6,706,16
57,R57,3199,14,14,124,10
58,R58,3373,90,4,552,51
59,R59,2608,59,11,234,40
60,R60,2795,6,13,360,40
61,R61,3116,67,15,0,0
62,R62,2756,62,7,376,15
63,R63,3210,276,6,270,26
64,R64,2950,34,5,0,0
65,R65,2574,70,9,481,13
66,R66,2972,358,16,182,27
67,R67,2896,220,20,134,50
68,R68,2571,80,11,272,-6
69,R69,2804,101,6,420,-5
70,R70,2719,125,28,85,33
71,R71,2724,191,21,424,-11
72,R72,2879,45,15,150,31
73,R73,2985,0,1,540,-34
74,R74,3100,352,15,150,23
75,R75,3229,14,7,30,0
76,R76,3285,38,8,524,-5
77,R77,2966,88,13,42,6
78,R78,2936,83,6,0,0
79,R79,2563,178,18,216,54
80,R80,2965,350,5,481,68
81,R81,2869,340,20,283,16
82,R82,3071,342,5,192,9
83,R83,2904,136,25,899,128
