id,label,attr_0,attr_1,attr_2
1,R1,3078,163,28
2,R2,3030,330,9
3,R3,2752,17,10
4,R4,2959,271,23
5,R5,2969,191,12
6,R6,2901,7,15
7,R7,3008,266,10
8,R8,3159,250,11
9,R9,3065,316,25
10,R10,2902,353,27
11,R11,2881,117,16
12,R12,3215,157,17
13,R13,3332,125,23
14,R14,3076,343,8
15,R15,3172,145,18
16,R16,2458,279,17
17,R17,2905,74,24
18,R18,3287,200,14
19,R19,3279,352,7
20,R20,3101,68,11
21,R21,3078,306,13
22,R22,3064,350,15
23,R23,2079,258,41
24,R24,2393,197,29
25,R25,2378,149,23
26,R26,2612,54,8
27,R27,2606,107,9
28,R28,2736,64,30
29,R29,2902,320,26
30,R30,3065,318,22
31,R31,2857,309,7
32,R32,2790,153,21
33,R33,2819,73,25
34,R34,2713,36,17
35,R35,2975,231,17
36,R36,3012,75,11
37,R37,3181,13,8
38,R38,2798,215,15
39,R39,3389,205,15
40,R40,2946,271,28
41,R41,3290,331,21
42,R42,3038,45,12
43,R43,2177,1,23
44,R44,3230,180,7
45,R45,2847,342,10
46,R46,2538,348,14
47,R47,3026,110,11
48,R48,3115,26,6
49,R49,2493,22,18
50,R50,3040,51,19
51,R51,2657,101,4
52,R52,3034,345,19
53,R53,2795,10,23
54,R54,2950,115,12
55,R55,2609,180,6
56,R56,3258,237,5
57,R57,2639,291,25
58,R58,3017,1,19
59,R59,2995,45,4
60,R60,3655,3,5
61,R61,3177,305,8
62,R62,2245,326,21
63,R63,3056,24,9
64,R64,3279,165,18
65,R65,2930,201,8
66,R66,2888,249,21
67,R67,2813,313,22
68,R68,2955,90,7
69,R69,2451,67,21
70,R70,3148,24,15
71,R71,2952,79,1
72,R72,3100,162,7
73,R73,3068,117,8
74,R74,2951,170,11
75,R75,2772,62,10
76,R76,2949,328,22
77,R77,3212,276,20
78,R78,2935,339,26
79,R79,2795,124,13
80,R80,3195,15,13
81,R81,2696,115,9
82,R82,3033,191,15
83,R83,2778,21,27
84,R84,2916,299,2
85,R85,2868,72,20
86,R86,3038,47,8
87,R87,2972,267,12
88,R88,2472,219,36
89,R89,2646,21,7
90,R90,2950,29,12
91,R91,2836,92,15
92,R92,2265,100,25
93,R93,2936,180,14
94,R94,2863,139,11
95,R95,3280,309,23
96,R96,1966,46,33
97,R97,2591,56,12
98,R98,3368,103,11
99,R99,3119,52,9
100,R100,3100,76,19
101,R101,3132,27,4
102,R102,2315,135,26
103,R103,3429,118,16
104,R104,3093,333,3
105,R105,3291,333,8
106,R106,2630,63,2
107,R107,2887,109,13
108,R108,3067,64,9
109,R109,2111,10,7
110,R110,3215,34,21
111,R111,3222,38,3
112,R112,2185,352,40
113,R113,2859,129,14
114,R114,2936,324,15
115,R115,2679,112,13
116,R116,3214,197,6
117,R117,3388,109,12
118,R118,2758,61,24
119,R119,2837,126,11
120,R120,3189,18,9
121,R121,2496,252,22
122,R122,2873,182,22
123,R123,2751,4,12
124,R124,3190,82,15
125,R125,2832,29,19
126,R126,2417,108,3
127,R127,2181,333,33
128,R128,3132,235,26
129,R129,2753,222,26
130,R130,3056,306,8
131,R131,3139,53,21
132,R132,3272,52,6
133,R133,2967,4,9
134,R134,2633,130,12
135,R135,3261,47,10
136,R136,3377,307,37
137,R137,2767,50,26
138,R138,2903,333,13
139,R139,3260,89,11
140,R140,3136,96,24
141,R141,3452,72,13
142,R142,2026,343,25
143,R143,3054,47,12
144,R144,2645,35,13
145,R145,2831,279,21
146,R146,3198,334,14
147,R147,2751,259,36
148,R148,3074,315,11
149,R149,2927,84,4
150,R150,3094,118,8
151,R151,3099,51,9
152,R152,2660,304,21
153,R153,3194,54,7
154,R154,3028,40,11
155,R155,2824,212,3
156,R156,2773,98,12
157,R157,2742,288,28
158,R158,2749,98,2
159,R159,2576,69,32
160,R160,2918,74,24
161,R161,3090,11,5
162,R162,2637,50,16
163,R163,2547,303,14
164,R164,2406,96,25
165,R165,3251,55,15
166,R166,3047,20,14
167,R167,3093,180,8
168,R168,2654,30,8
169,R169,3395,47,13
170,R170,3181,202,15
171,R171,3262,70,29
172,R172,2572,350,18
173,R173,2875,64,17
174,R174,3311,241,12
175,R175,3200,75,19
176,R176,2942,251,17
177,R177,2536,140,12
178,R178,3115,181,14
179,R179,2425,316,26
180,R180,3300,196,7
181,R181,3403,58,4
182,R182,2453,60,25
183,R183,3233,269,12
184,R184,2969,22,10
185,R185,3148,11,13
186,R186,2999,18,16
187,R187,3056,275,16
188,R188,3036,20,10
189,R189,2527,40,4
190,R190,2205,349,28
191,R191,2878,27,13
192,R192,2822,144,13
193,R193,3078,202,26
194,R194,3240,103,32
195,R195,3133,90,3
196,R196,2642,159,14
197,R197,3047,270,4
198,R198,3442,120,8
199,R199,2991,248,16
200,R200,2376,314,24
201,R201,3388,283,11
202,R202,3099,162,20
203,R203,3060,86,16
204,R204,3186,27,16
205,R205,3183,0,3
206,R206,2878,110,18
207,R207,2892,170,27
208,R208,3013,139,13
209,R209,2331,257,25
210,R210,2904,338,5
211,R211,3032,8,5
212,R212,2782,144,2
213,R213,3244,257,10
214,R214,3195,120,16
215,R215,2408,1,21
216,R216,3057,278,7
217,R217,2995,60,5
218,R218,2958,354,10
219,R219,2398,198,10
220,R220,2132,11,12
221,R221,2935,349,20
222,R222,3152,59,8
223,R223,2771,108,1
224,R224,2672,135,5
225,R225,3079,59,36
