id,label,attr_0,attr_1,attr_2
1,R1,263,9947.2,9947.2
2,R2,9853.6,9853.8,731
3,R3,8584.4,7078,8584.6
4,R4,4141,9171.6,9171.8
5,R5,1845,9631.0,9630.8
6,R6,5753,8849.4,8849.2
7,R7,9756.8,9756.6,1216
8,R8,8329.2,8355,8329.0
9,R9,7523,8495.4,8495.4
10,R10,8790.8,6046,8791.0
11,R11,8474.0,7630,8473.8
12,R12,8895.2,5523,8895.2
13,R13,6823,8635.6,8635.6
14,R14,8333.2,8335,8333.0
15,R15,9259.2,3705,9259.0
16,R16,8823.8,5881,8823.8
17,R17,4787,9042.4,9042.8
18,R18,1297,9740.8,9740.6
19,R19,9009.6,4951,9009.6
20,R20,9368.4,9368.4,3158
21,R21,9677.4,1613,9677.2
22,R22,9620.6,9620.2,1898
23,R23,8361.8,8191,8362.0
24,R24,8053.6,8053.8,9731
25,R25,9400.8,9400.4,2997
26,R26,7617,8476.4,8476.8
27,R27,8730.6,8730.4,6347
28,R28,8201.0,8994,8201.2
29,R29,7901,8420.0,8420.0
30,R30,9108.8,4456,9108.8
31,R31,9218.8,9218.8,3907
32,R32,9627.2,1864,9627.4
33,R33,8118.2,8118.4,9409
34,R34,9318.2,9318.2,3408
35,R35,9639.4,9639.6,1803
36,R36,8976.6,5117,8976.8
37,R37,9481.8,9482.0,2590
38,R38,3497,9300.4,9300.8
39,R39,9981.4,9981.4,93
40,R40,3317,9336.6,9336.6
41,R41,8231.2,8230.8,8845
42,R42,2257,9548.4,9548.8
43,R43,8087.0,9565,8087.0
44,R44,9490.8,9490.8,2545
45,R45,9519.8,9519.6,2401
46,R46,4048,9190.4,9190.4
47,R47,5739,8852.0,8852.4
48,R48,9202.6,9202.8,3987
49,R49,3050,9390.2,9390.2
50,R50,9540.6,9540.6,2296
51,R51,9661.6,9661.2,1693
52,R52,9497.4,2513,9497.6
53,R53,1716,9657.0,9656.6
54,R54,8100.6,9498,8100.2
55,R55,8879.4,8879.4,5602
56,R56,1154,9769.4,9769.4
57,R57,9484.4,2578,9484.2
58,R58,9468.2,9468.6,2658
59,R59,9583.0,2085,9583.0
60,R60,9166.0,4170,9166.0
61,R61,988,9802.4,9802.6
62,R62,6809,8638.4,8638.2
63,R63,9956.2,218,9956.4
64,R64,9720.2,9720.2,1400
65,R65,8562.4,7189,8562.0
66,R66,8025.4,8025.4,9873
67,R67,8289.4,8289.4,8552
68,R68,8014.2,9928,8014.6
69,R69,9625,8075.2,8075.0
70,R70,8738.0,8738.2,6310
71,R71,8313.0,8312.8,8436
72,R72,8627.6,8627.2,6863
73,R73,8029,8394.0,8394.2
74,R74,3699,9260.2,9260.0
75,R75,9379.4,9379.6,3102
76,R76,4370,9126.2,9125.8
77,R77,9070.8,4647,9070.6
78,R78,9773.4,9773.6,1132
79,R79,8141.4,9294,8141.4
80,R80,8200.6,8200.8,8996
81,R81,9178.2,9178.4,4109
82,R82,9026.4,9026.4,4868
83,R83,8714.2,6429,8714.2
84,R84,9364.0,9364.0,3180
85,R85,8281.0,8281.0,8595
86,R86,4171,9165.8,9165.8
87,R87,147,9970.4,9970.4
88,R88,964,9807.0,9807.2
89,R89,8461.6,8461.8,7691
90,R90,8941.4,5292,8941.6
91,R91,6645,8671.2,8671.0
92,R92,8933.6,5332,8933.6
93,R93,1408,9718.6,9718.2
94,R94,9550.8,9550.8,2247
95,R95,9106.2,4468,9106.4
96,R96,8814.4,8814.2,5929
97,R97,9157.6,4213,9157.4
98,R98,6239,8752.0,8752.0
99,R99,8643.2,8643.2,6783
100,R100,8214.4,8214.4,8928
101,R101,4969,9006.4,9006.0
102,R102,8733.8,8733.6,6331
103,R103,2687,9462.4,9462.6
104,R104,9008.8,9009.0,4956
105,R105,9840.6,797,9840.4
106,R106,5852,8829.8,8829.4
107,R107,9656.4,1719,9656.4
108,R108,9653.8,1730,9654.0
109,R109,9569,8086.4,8086.2
110,R110,8983,8203.6,8203.4
111,R111,9501.0,9501.0,2494
112,R112,8615.2,6924,8615.4
113,R113,9345.2,9344.8,3275
114,R114,1797,9640.6,9640.4
115,R115,9001.0,9000.6,4996
116,R116,8415.4,8415.4,7924
117,R117,9365.2,3174,9365.4
118,R118,5050,8990.2,8990.0
119,R119,8812.8,8812.4,5937
120,R120,8352.0,8239,8352.4
121,R121,9755.4,9755.6,1223
122,R122,802,9839.4,9839.8
123,R123,8634.4,6828,8634.6
124,R124,8777.2,6113,8777.6
125,R125,9483.8,2582,9483.4
126,R126,9496.0,2521,9496.0
127,R127,8042.8,9787,8042.4
128,R128,8744.6,8744.4,6278
129,R129,8163.2,8162.8,9185
130,R130,9871.2,644,9871.4
131,R131,9248.8,9249.2,3755
132,R132,9713.0,1434,9713.0
133,R133,9230.6,3848,9230.4
134,R134,9236.2,9236.4,3818
135,R135,9820.6,9820.6,897
136,R136,9333.8,3332,9333.6
137,R137,9419.2,9419.4,2904
138,R138,8595.4,8595.8,7022
139,R139,9898,8020.4,8020.2
140,R140,7183,8563.6,8563.4
141,R141,9669,8066.0,8066.4
142,R142,2353,9529.2,9529.4
143,R143,9109.0,9108.6,4456
144,R144,2902,9419.4,9419.4
145,R145,9344.6,3277,9344.8
146,R146,8878.8,5607,8878.6
147,R147,9643.2,9643.2,1785
148,R148,9110.8,9111.0,4445
149,R149,8552.8,7236,8553.0
150,R150,8585.0,8584.6,7076
151,R151,8002.6,9987,8002.6
152,R152,4154,9169.4,9169.2
153,R153,9244.6,9244.2,3778
154,R154,9482.2,9482.4,2589
155,R155,964,9807.0,9807.2
156,R156,9321.8,3391,9321.8
157,R157,9702.6,1488,9702.2
158,R158,4045,9191.2,9191.2
159,R159,4806,9039.0,9039.0
160,R160,9488.8,2556,9488.8
161,R161,801,9839.6,9840.0
162,R162,7464,8507.4,8507.4
163,R163,9843.8,782,9843.8
164,R164,8054.4,9727,8054.6
165,R165,819,9836.4,9836.4
166,R166,66,9986.8,9986.6
167,R167,8391.2,8390.8,8045
168,R168,1266,9746.8,9746.8
169,R169,8185.6,8185.6,9072
170,R170,9425.4,2874,9425.0
171,R171,6445,8711.2,8711.0
172,R172,9823.8,9823.4,882
173,R173,8185.4,9073,8185.4
174,R174,8058.6,9707,8058.6
175,R175,8988.8,5056,8989.0
176,R176,9868.0,9867.8,661
177,R177,9788.4,1057,9788.8
178,R178,2203,9559.6,9559.2
179,R179,9480.8,2595,9481.0
180,R180,9586,8082.6,8082.8
181,R181,3178,9364.2,9364.2
182,R182,8830.6,5848,8830.4
183,R183,8953.2,8953.2,5233
184,R184,8964.2,5180,8963.8
185,R185,8008.4,8008.4,9958
186,R186,9148.2,4260,9147.8
187,R187,9596.6,9596.4,2018
188,R188,8870.4,5648,8870.6
189,R189,9028.8,4857,9028.6
190,R190,9285.2,3575,9284.8
191,R191,5331,8933.8,8934.0
192,R192,8279.0,8279.0,8606
193,R193,8982.6,8982.8,5087
194,R194,1088,9782.4,9782.6
195,R195,8143.6,8143.4,9283
196,R196,8821.6,8821.2,5893
197,R197,1002,9799.4,9799.6
198,R198,3811,9238.0,9238.0
199,R199,3041,9391.8,9391.6
200,R200,8851.6,8851.6,5743
201,R201,9174.2,9173.8,4130
202,R202,6637,8672.6,8672.6
203,R203,9630.8,1845,9631.2
204,R204,8661.6,8661.4,6692
205,R205,9666.2,9666.2,1668
206,R206,5852,8829.4,8829.6
207,R207,8045.8,8045.6,9771
208,R208,8046.0,8046.0,9771
209,R209,8164.0,9181,8163.6
210,R210,9521.0,2394,9521.0
211,R211,9805.4,9805.2,973
212,R212,9768.0,9768.0,1160
213,R213,8512.6,7437,8512.4
214,R214,9834.6,9834.4,828
215,R215,8357.0,8357.0,8216
216,R216,7882,8423.6,8423.4
217,R217,9923.0,384,9923.2
218,R218,4996,9001.0,9000.8
219,R219,3811,9238.0,9238.0
220,R220,8502.0,8502.0,7489
221,R221,4985,9003.2,9002.8
222,R222,9867.2,665,9866.8
223,R223,8945.0,5275,8945.0
224,R224,184,9963.4,9963.0
225,R225,8383.2,8383.4,8083
226,R226,8143.0,8143.2,9285
227,R227,1692,9661.4,9661.6
228,R228,8395.4,8023,8395.2
229,R229,4215,9156.8,9157.2
230,R230,189,9962.4,9962.4
231,R231,2426,9514.8,9514.6
232,R232,8879.6,8879.8,5601
233,R233,9896,8020.6,8020.6
234,R234,8912.4,8912.4,5437
235,R235,8646.0,8646.2,6769
236,R236,8566.0,8565.8,7170
237,R237,8058.2,8058.2,9710
238,R238,9980.4,99,9980.0
239,R239,9955,8009.0,8009.0
240,R240,9652.6,9652.4,1737
241,R241,8397.8,8397.6,8012
242,R242,8066.8,9667,8066.8
243,R243,2069,9586.2,9586.0
244,R244,9228.0,9228.2,3859
245,R245,4818,9036.2,9036.2
246,R246,8191.0,8191.2,9044
247,R247,2288,9542.6,9542.2
248,R248,8562.0,7190,8562.2
249,R249,1468,9706.6,9706.4
250,R250,9691.4,9691.4,1542
251,R251,9969.0,9969.2,155
252,R252,1153,9769.4,9769.6
253,R253,8234.8,8825,8235.0
254,R254,9111.4,9111.8,4442
255,R255,5671,8866.0,8865.6
256,R256,8211.2,8211.2,8944
257,R257,1955,9609.2,9609.2
258,R258,8079.4,9603,8079.6
259,R259,9469.6,2651,9469.8
260,R260,8350.6,8247,8350.8
261,R261,7452,8509.6,8509.4
262,R262,8451.6,7741,8451.6
263,R263,9795,8041.2,8041.0
264,R264,9086.0,4569,9086.0
265,R265,6233,8753.4,8753.4
266,R266,8914.0,8914.2,5430
267,R267,4877,9024.4,9024.6
268,R268,8730.0,6350,8729.8
269,R269,8239.8,8240.0,8800
270,R270,1909,9618.0,9618.2
271,R271,8034.2,9830,8033.8
272,R272,8555.0,7226,8554.8
273,R273,5188,8962.6,8962.4
274,R274,9840,8032.0,8032.2
275,R275,8826.0,8825.6,5871
276,R276,6492,8701.6,8701.4
277,R277,9276.0,9276.2,3619
278,R278,8519.6,7403,8519.2
279,R279,8176.0,9119,8176.2
280,R280,4376,9124.8,9124.6
281,R281,9931,8014.0,8014.0
282,R282,8874.4,8874.8,5627
283,R283,9281,8144.0,8144.0
284,R284,8560.8,7195,8561.2
285,R285,5882,8823.4,8823.6
286,R286,9528.4,2359,9528.4
287,R287,8837.0,5815,8836.8
288,R288,7642,8471.8,8471.8
289,R289,8461.0,8460.8,7695
290,R290,5180,8963.8,8964.2
291,R291,9480.0,9479.6,2601
292,R292,9168.2,4160,9167.8
293,R293,3670,9266.2,9266.2
294,R294,634,9873.0,9873.4
295,R295,8769.4,8769.4,6152
296,R296,4550,9090.2,9089.8
297,R297,9547.4,9547.0,2264
298,R298,9395.0,3026,9395.0
299,R299,9890.0,551,9889.6
300,R300,3610,9278.0,9277.8
301,R301,9748.8,1256,9748.6
302,R302,9746.0,1270,9745.8
303,R303,8201.2,8994,8201.2
304,R304,256,9949.0,9949.0
305,R305,8351.0,8350.8,8245
306,R306,9999.6,1,9999.6
307,R307,9048.0,9048.0,4761
308,R308,8991.8,8991.8,5040
309,R309,8367.6,8367.2,8163
310,R310,8919.8,5401,8919.6
311,R311,8181.6,9092,8181.6
312,R312,1662,9667.6,9667.6
313,R313,9214.4,9214.2,3929
314,R314,8126.6,9366,8126.8
315,R315,9989.8,52,9989.4
316,R316,8113.2,8112.8,9435
317,R317,8021.6,8021.2,9893
318,R318,4431,9114.0,9113.8
319,R319,8272.0,8272.4,8639
320,R320,714,9857.4,9857.2
321,R321,8149.0,8149.0,9254
322,R322,9746.8,9746.8,1267
323,R323,6800,8640.2,8639.8
324,R324,9214.2,9214.4,3929
325,R325,2236,9552.6,9552.6
326,R326,2599,9480.0,9480.2
327,R327,8446.6,8446.6,7768
328,R328,444,9911.0,9911.0
329,R329,9019.8,4900,9019.8
