id,label,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9
1,R1,8315.4,8315.4,8315.0,8315.2,8315.0,8315.4,8315.4,8424,8315.4,8315.4
2,R2,8377.2,8377.4,8113,8377.2,8377.2,8377.2,8377.4,8377.2,8377.4,8377.6
3,R3,8111.8,8112.0,8112.0,8111.6,9441,8111.8,8111.8,8111.8,8111.6,8111.8
4,R4,8071.6,8071.6,9642,8071.4,8071.8,8071.4,8071.8,8071.8,8071.4,8071.6
5,R5,9896.0,9896.0,9896.2,520,9896.2,9896.0,9896.0,9896.2,9896.2,9895.8
6,R6,8853.6,8853.8,8854.0,8853.8,8853.8,8853.6,8853.6,5731,8853.8,8853.8
7,R7,8722.6,8722.4,6388,8722.4,8722.6,8722.4,8722.2,8722.6,8722.4,8722.6
8,R8,9346.6,9347.0,9347.0,3266,9347.0,9346.6,9346.6,9347.0,9347.0,9346.8
9,R9,9442.0,9442.4,9442.0,9442.2,9442.0,9442.4,9442.0,2789,9442.0,9442.0
10,R10,9238.0,9237.8,9237.8,9237.6,9238.0,9238.0,9237.6,9237.8,3811,9237.6
11,R11,6590,8682.2,8682.2,8681.8,8682.0,8681.8,8682.0,8681.8,8681.8,8682.2
12,R12,9930.0,9930.2,9930.4,9930.0,9930.2,9930.0,9930.2,9930.4,9930.2,349
13,R13,8969.0,8969.0,8969.4,5154,8969.0,8969.2,8969.0,8969.4,8969.2,8969.0
14,R14,9950.2,9950.2,9950.0,9950.4,9950.0,9950.2,249,9950.0,9950.4,9950.4
15,R15,8059.8,8059.6,8060.0,8059.6,9701,8060.0,8059.8,8059.8,8060.0,8059.8
16,R16,8206.8,8207.2,8207.0,8206.8,8207.0,8965,8207.2,8207.0,8207.0,8206.8
17,R17,8583.0,8583.2,8583.2,8583.2,8583.0,8583.0,8583.0,8583.2,7084,8583.4
18,R18,8973.6,8974.0,8974.0,8973.8,8973.6,8973.6,8974.0,5131,8974.0,8973.6
19,R19,9812.2,9812.0,9812.0,9811.8,9812.2,940,9812.0,9811.8,9811.8,9812.0
20,R20,9512.8,9512.8,9512.6,2437,9512.4,9512.6,9512.6,9512.4,9512.4,9512.8
21,R21,9432.4,9432.4,9432.2,9432.0,9432.0,9432.2,9432.4,9432.4,9432.0,2839
22,R22,8092.8,8092.8,8092.6,8092.8,8092.8,8092.6,8092.6,9537,8092.6,8092.4
23,R23,9142.8,9142.8,9142.6,9142.4,4287,9142.8,9142.8,9142.6,9142.8,9142.6
24,R24,9379.6,9379.4,9379.4,9379.4,9379.4,9379.6,9379.6,9379.6,3102,9379.4
25,R25,9908.0,9908.0,9908.0,9908.2,9908.2,9908.4,459,9908.4,9908.0,9908.2
26,R26,9373.4,9373.8,9373.4,9373.4,9373.4,9373.8,9373.8,3132,9373.6,9373.8
27,R27,9310.0,9309.8,3451,9310.0,9310.0,9309.6,9309.8,9309.6,9310.0,9309.6
28,R28,9155.8,4220,9156.2,9156.2,9156.0,9156.2,9156.0,9156.0,9156.2,9156.2
29,R29,8218.6,8218.6,8219.0,8906,8218.8,8219.0,8218.8,8218.6,8219.0,8219.0
30,R30,9946.8,9946.8,267,9946.8,9946.4,9946.4,9946.4,9946.4,9946.4,9946.8
31,R31,8403.6,7982,8403.4,8403.4,8403.4,8403.8,8403.6,8403.4,8403.6,8403.6
32,R32,9563.6,9563.4,9563.4,9563.6,9563.6,9563.4,9563.8,9563.6,2182,9563.4
33,R33,8384.4,8384.0,8384.0,8384.4,8384.0,8384.0,8384.0,8384.0,8384.0,8079
34,R34,8132.4,8132.4,8132.0,8132.0,9339,8132.0,8132.2,8132.2,8132.2,8132.2
35,R35,9544.4,9544.4,9544.4,9544.6,9544.8,9544.6,9544.8,9544.8,9544.6,2277
36,R36,9615.2,9615.0,9615.2,9615.2,9614.8,9615.2,9615.2,9615.0,1925,9615.0
