id,label,attr_0,attr_1
1,R1,5232,8953.4
2,R2,2653,9469.4
3,R3,8829.4,5852
4,R4,8680,8263.8
5,R5,502,9899.8
6,R6,8924.8,5377
7,R7,8772.2,6139
8,R8,9058.8,4705
9,R9,8042.8,9786
10,R10,8140.4,9299
11,R11,9160.0,4199
12,R12,7793,8441.6
13,R13,8756.6,6217
14,R14,9215.6,3922
15,R15,9189.8,4051
16,R16,2029,9594.0
17,R17,9298,8140.4
18,R18,8808,8238.2
19,R19,9781,8043.6
20,R20,2876,9424.6
21,R21,8594.6,7026
22,R22,8652.6,6738
23,R23,9507.4,2462
24,R24,2050,9590.2
25,R25,6744,8651.0
26,R26,5894,8821.2
27,R27,5938,8812.6
28,R28,8988.6,5058
29,R29,3011,9398.0
30,R30,8390.6,8046
31,R31,9204.6,3976
32,R32,8199.0,9006
33,R33,7181,8564.0
34,R34,9600.6,1998
35,R35,4856,9029.0
36,R36,5340,8931.8
37,R37,1596,9680.6
38,R38,9689.4,1553
39,R39,6566,8687.0
40,R40,8812.8,5935
41,R41,8787.8,6061
42,R42,235,9953.0
43,R43,8739.4,6302
44,R44,9716.6,1417
45,R45,7386,8523.0
46,R46,9136,8173.0
47,R47,9854.8,727
48,R48,4663,9067.6
49,R49,151,9970.0
50,R50,9329.0,3354
51,R51,9632.4,1839
52,R52,6615,8677.2
53,R53,8821.8,5890
54,R54,4936,9012.8
55,R55,8548.2,7260
56,R56,8844,8231.0
57,R57,8632.2,6840
58,R58,6260,8748.2
59,R59,9112.8,4435
60,R60,8233.4,8832
61,R61,7953,8409.4
62,R62,6201,8760.0
63,R63,9944.8,276
64,R64,6960,8608.2
65,R65,1565,9687.0
66,R66,5789,8842.2
67,R67,856,9828.8
68,R68,9989.0,56
69,R69,8427.2,7865
70,R70,1869,9626.4
71,R71,5173,8965.2
72,R72,356,9928.8
73,R73,8766.0,6171
74,R74,6529,8694.0
75,R75,8445.2,7774
76,R76,8243.8,8781
77,R77,1096,9780.6
78,R78,4203,9159.2
79,R79,9477,8104.4
80,R80,9066.0,4669
81,R81,8009.8,9952
82,R82,5870,8826.2
83,R83,1667,9666.4
84,R84,1998,9600.6
85,R85,8574.4,7129
86,R86,9818,8036.2
87,R87,162,9967.8
88,R88,9538,8092.2
89,R89,8928.4,5358
90,R90,3181,9363.8
91,R91,8516.2,7418
92,R92,9696.8,1515
93,R93,9198,8160.6
94,R94,8729,8254.2
95,R95,9393.2,3035
96,R96,2008,9598.2
97,R97,7104,8579.2
98,R98,7543,8491.4
99,R99,4111,9177.6
100,R100,5719,8856.0
101,R101,8476.0,7620
102,R102,2232,9553.4
103,R103,5933,8813.2
104,R104,9562.6,2187
105,R105,2860,9428.2
106,R106,7682,8463.6
107,R107,2071,9585.8
108,R108,430,9913.8
109,R109,551,9890.0
110,R110,9183.4,4082
111,R111,5371,8925.8
112,R112,7720,8456.2
113,R113,1347,9730.4
114,R114,8616.0,6919
115,R115,4647,9070.4
116,R116,2359,9528.2
117,R117,9922,8015.6
118,R118,8310.2,8450
119,R119,9026.6,4866
120,R120,9009.2,4954
121,R121,1089,9782.2
122,R122,8711.2,6443
123,R123,6637,8672.8
124,R124,8228,8354.4
125,R125,374,9925.2
126,R126,9549.8,2250
127,R127,8146,8371.0
128,R128,4308,9138.2
129,R129,4606,9078.8
130,R130,8097.0,9516
131,R131,7030,8593.8
132,R132,9691.6,1543
133,R133,9153.8,4232
134,R134,4265,9147.0
135,R135,963,9807.6
136,R136,9321.6,3393
137,R137,9759.0,1206
138,R138,9674,8065.4
139,R139,8022,8395.4
140,R140,9818.8,907
141,R141,8888.2,5559
142,R142,9869.4,654
143,R143,9500.2,2498
144,R144,8210,8357.8
145,R145,9006.6,4967
146,R146,9308.8,3455
147,R147,9138.8,4305
148,R148,8097.0,9514
149,R149,7302,8539.8
150,R150,6992,8601.4
151,R151,8787.0,6065
152,R152,5551,8890.0
153,R153,9169,8166.2
154,R154,5169,8966.4
155,R155,1554,9689.4
156,R156,9729.4,1354
157,R157,8842.0,5789
158,R158,9643.6,1783
159,R159,6041,8791.8
160,R160,5760,8848.2
161,R161,7353,8529.6
162,R162,7865,8427.2
163,R163,2892,9421.8
164,R164,9659.8,1701
165,R165,9959.4,204
166,R166,8686.4,6569
167,R167,9120.4,4397
168,R168,7315,8537.2
169,R169,3468,9306.4
170,R170,8530.0,7350
171,R171,4315,9137.0
172,R172,4618,9076.6
173,R173,9054.0,4730
174,R174,9160.8,4197
175,R175,8246.4,8769
176,R176,8997.2,5015
177,R177,5227,8954.4
178,R178,8059,8388.0
179,R179,9174.6,4128
180,R180,8575.2,7125
181,R181,2323,9535.2
182,R182,7104,8579.0
183,R183,4551,9090.0
184,R184,8342.2,8289
185,R185,8438.2,7808
186,R186,2813,9437.2
187,R187,8167.8,9161
188,R188,9847.8,760
189,R189,9764.2,1178
190,R190,8501.6,7491
191,R191,9452,8109.8
192,R192,1941,9611.6
193,R193,1949,9610.0
194,R194,9066,8186.6
195,R195,8223.0,8884
196,R196,8583.2,7083
197,R197,8832.6,5836
198,R198,8969.0,5155
199,R199,1068,9786.2
