id,label,attr_0,attr_1,attr_2,attr_3,attr_4
1,R1,9029.8,9029.4,4852,9029.6,9029.6
2,R2,5514,8897.4,8897.0,8897.2,8897.0
3,R3,8489.0,8489.2,8489.2,7554,8489.2
4,R4,8561.0,7195,8561.0,8561.0,8561.2
5,R5,8550.6,8550.6,8550.6,7247,8550.6
6,R6,8352.6,8352.6,8352.2,8238,8352.4
7,R7,801,9839.6,9839.6,9839.8,9839.6
8,R8,9561.2,2195,9561.0,9561.2,9560.8
9,R9,7453,8509.4,8509.4,8509.4,8509.4
10,R10,8471.6,7643,8471.6,8471.4,8471.6
11,R11,8025.2,8025.6,8025.6,9873,8025.2
12,R12,7444,8511.4,8511.0,8511.0,8511.2
13,R13,7648,8470.4,8470.2,8470.6,8470.6
14,R14,9989.8,9989.8,9989.6,52,9989.6
15,R15,8726.6,8726.4,8726.4,8726.4,6368
16,R16,8454.8,8454.6,8454.8,8454.8,7726
17,R17,9446,8110.8,8110.6,8111.0,8110.8
18,R18,8567.2,8566.8,8567.2,8567.2,7165
19,R19,8267.2,8266.8,8665,8267.2,8267.2
20,R20,9983.2,9983.2,9983.4,83,9983.4
21,R21,9797.2,9797.2,9797.0,1015,9797.2
22,R22,6050,8790.0,8789.8,8789.8,8790.2
23,R23,9667.6,1663,9667.4,9667.4,9667.4
24,R24,9450.4,9450.2,9450.4,2748,9450.2
25,R25,8429.4,7854,8429.2,8429.4,8429.0
26,R26,8107,8378.6,8378.4,8378.4,8378.4
27,R27,2493,9501.2,9501.4,9501.4,9501.2
28,R28,9898.0,9898.4,509,9898.4,9898.4
29,R29,9819.2,9819.2,903,9819.4,9819.2
30,R30,9145,8171.2,8171.0,8170.8,8171.2
31,R31,9797.0,9797.2,9796.8,9796.8,1015
32,R32,9478.8,9478.6,2607,9478.6,9478.6
33,R33,8491.8,8491.4,7542,8491.4,8491.8
34,R34,8854.0,8854.0,8854.0,8853.8,5731
35,R35,8006.0,8006.0,9969,8006.4,8006.4
36,R36,8650.8,6745,8650.8,8651.2,8650.8
37,R37,8729.6,6352,8729.4,8729.6,8729.4
38,R38,9419.4,2903,9419.4,9419.6,9419.6
39,R39,8279.8,8280.0,8600,8279.8,8280.2
40,R40,9582.2,9581.8,9582.0,2090,9582.0
41,R41,9104,8179.2,8179.4,8179.0,8179.0
42,R42,9770.8,9771.2,9771.2,1145,9771.2
43,R43,9077.2,4615,9077.0,9077.2,9077.0
44,R44,8243.4,8784,8243.0,8243.4,8243.0
45,R45,5138,8972.6,8972.2,8972.4,8972.4
46,R46,8864,8227.0,8227.2,8227.0,8227.0
47,R47,9669.4,9669.4,1653,9669.4,9669.4
48,R48,9593.0,9593.2,2034,9593.0,9593.2
49,R49,8206.4,8206.4,8206.6,8967,8206.8
50,R50,8375.4,8375.6,8375.4,8375.8,8122
51,R51,9800.0,999,9800.2,9800.2,9800.4
52,R52,9537.6,2313,9537.6,9537.4,9537.6
53,R53,9244.4,9244.2,9244.0,3779,9244.0
54,R54,9563.8,9564.0,9563.8,9563.8,2181
55,R55,9429.0,9428.6,9428.8,9429.0,2856
56,R56,9384.2,9384.6,3078,9384.2,9384.4
57,R57,1601,9679.8,9680.0,9679.6,9679.6
58,R58,9924.6,9924.8,376,9924.6,9924.6
59,R59,6060,8787.8,8788.2,8788.0,8787.8
60,R60,9558.4,9558.4,9558.2,2208,9558.2
61,R61,6252,8749.8,8749.6,8749.6,8749.8
62,R62,8676.0,8676.0,6621,8675.6,8675.8
63,R63,9181.2,9181.6,9181.2,9181.2,4093
64,R64,9026.0,4870,9026.2,9026.0,9025.8
65,R65,8489.8,8490.0,7551,8489.8,8489.6
66,R66,7167,8566.8,8566.4,8566.8,8566.8
67,R67,9273.2,9273.0,3634,9273.2,9273.0
68,R68,8592,8281.6,8281.6,8281.8,8281.6
69,R69,8720.6,6396,8720.8,8720.8,8720.8
70,R70,8776.6,8776.4,8776.4,6118,8776.4
71,R71,9849.4,9849.6,9849.2,753,9849.6
72,R72,9969.0,9968.8,155,9969.0,9969.2
73,R73,9327.4,9327.4,9327.2,3363,9327.4
74,R74,8066.6,8066.8,9667,8066.4,8066.8
75,R75,9146.4,9146.2,9146.4,9146.6,4268
76,R76,8636.8,6816,8636.8,8636.6,8637.0
77,R77,2443,9511.2,9511.6,9511.6,9511.6
78,R78,8745.2,6275,8745.2,8745.0,8745.2
79,R79,8547.0,7266,8547.0,8546.8,8547.0
80,R80,9734.4,9734.4,1328,9734.2,9734.6
81,R81,9849.2,9849.4,9849.0,754,9849.4
82,R82,8210.0,8210.2,8949,8210.0,8210.0
83,R83,4275,9145.2,9145.0,9145.0,9144.8
84,R84,9466.8,9467.2,2665,9466.8,9466.8
85,R85,9082.8,9082.8,4585,9082.8,9083.2
86,R86,9284,8143.0,8143.0,8143.4,8143.0
87,R87,8015.4,8015.4,8015.6,9923,8015.6
88,R88,9932.6,9932.6,9932.6,337,9932.8
89,R89,8914.2,8914.2,8914.2,5429,8914.0
90,R90,9341.8,9342.0,9341.8,3290,9342.2
91,R91,8969.4,5152,8969.6,8969.4,8969.4
92,R92,973,9805.6,9805.2,9805.6,9805.2
93,R93,9463.2,9463.0,9463.2,2685,9462.8
94,R94,8425.2,8425.0,8424.8,8425.0,7875
95,R95,8657.8,8657.8,8658.2,6710,8657.8
96,R96,9309.8,9309.8,9309.4,9309.8,3452
97,R97,8269.4,8269.0,8269.4,8654,8269.4
98,R98,9387.8,9387.8,9387.4,3062,9387.8
99,R99,8704.4,8704.6,8704.6,8704.6,6477
100,R100,9201.2,3995,9201.2,9201.0,9200.8
101,R101,8488.8,8488.8,8488.8,8489.2,7555
102,R102,9224.6,9224.6,3876,9224.8,9224.6
103,R103,6874,8625.4,8625.2,8625.0,8625.0
104,R104,8003.0,8003.2,8003.4,8003.2,9984
105,R105,8276.2,8276.6,8276.2,8618,8276.2
106,R106,9147.0,9147.0,4265,9147.2,9146.8
107,R107,8299.2,8299.0,8298.8,8505,8298.8
108,R108,9415.0,9414.8,9415.0,2925,9415.2
109,R109,8727,8254.8,8254.8,8254.6,8254.8
110,R110,8626,8274.8,8275.0,8275.0,8275.0
111,R111,8836.0,5820,8836.2,8836.2,8836.2
112,R112,8154.8,8154.4,9227,8154.8,8154.6
113,R113,8138.8,8139.0,8139.0,8138.6,9306
