id,label,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6
1,R1,8246.4,8246.4,8769,8246.4,8246.2,8246.2,8246.2
2,R2,9319.4,9319.4,9319.6,9319.6,9319.4,3402,9319.8
3,R3,9580.4,2098,9580.6,9580.2,9580.6,9580.6,9580.2
4,R4,9147.0,4264,9147.0,9147.0,9147.0,9147.4,9147.0
5,R5,9604.2,9604.0,9604.0,1980,9603.8,9603.8,9603.8
6,R6,8222.4,8222.4,8222.6,8222.6,8888,8222.2,8222.6
7,R7,4483,9103.6,9103.2,9103.2,9103.2,9103.6,9103.6
8,R8,9135.2,9135.2,9135.2,9135.6,9135.2,9135.2,4323
9,R9,8366.6,8366.4,8366.6,8366.4,8366.4,8366.6,8168
10,R10,8350.6,8350.4,8247,8350.8,8350.8,8350.6,8350.6
11,R11,9388.4,3058,9388.6,9388.4,9388.4,9388.4,9388.6
12,R12,8153.4,8153.4,8153.4,8153.2,8153.4,9233,8153.6
13,R13,8359.8,8359.8,8360.2,8360.0,8359.8,8200,8359.8
14,R14,9589.6,9589.6,9589.6,2052,9589.6,9589.8,9589.4
15,R15,9277.2,9277.0,3615,9277.0,9277.0,9276.8,9276.8
16,R16,8166.2,8166.4,8166.6,8166.4,8166.2,8166.2,9168
17,R17,5733,8853.2,8853.2,8853.4,8853.4,8853.4,8853.2
18,R18,8958.2,5208,8958.2,8958.4,8958.6,8958.2,8958.4
19,R19,9239.2,9239.6,9239.2,3803,9239.4,9239.6,9239.6
20,R20,8663.4,8663.2,8663.0,6684,8663.0,8663.2,8663.0
21,R21,8180.2,9099,8180.0,8180.2,8180.4,8180.2,8180.4
22,R22,9144.2,9144.2,9144.4,9144.0,9144.4,4279,9144.0
23,R23,9380.6,9380.6,9380.4,3098,9380.2,9380.2,9380.6
24,R24,9817.2,9817.2,9817.2,9817.6,9817.6,913,9817.2
25,R25,9149.6,9149.4,9149.6,4253,9149.2,9149.4,9149.4
26,R26,8899.6,8899.6,5501,8899.6,8899.8,8900.0,8899.6
27,R27,8716.0,6421,8715.6,8716.0,8715.6,8715.8,8715.8
28,R28,8489.2,8489.4,8489.4,7554,8489.4,8489.0,8489.4
29,R29,8537.8,8537.4,8537.4,8537.6,8537.8,8537.4,7312
30,R30,8456.6,8456.6,8456.6,8457.0,8457.0,8456.8,7716
31,R31,9628.2,9628.2,9628.4,1858,9628.2,9628.4,9628.6
32,R32,9683.6,9683.8,9683.4,1582,9683.6,9683.6,9683.4
