id,label,attr_0,attr_1,attr_2
1,R1,7432,8513.8,8513.4
2,R2,9318,8136.4,8136.4
3,R3,9579.4,9579.4,2103
4,R4,8184.8,9076,8184.6
5,R5,9580,8084.2,8084.2
6,R6,9280.8,9280.8,3596
7,R7,9432.6,2836,9433.0
8,R8,8267.2,8665,8266.8
9,R9,3179,9364.0,9364.0
10,R10,9800.6,997,9800.8
11,R11,8347.4,8347.4,8262
12,R12,8455.0,7724,8455.2
13,R13,5341,8932.0,8931.6
14,R14,9184.2,4079,9184.2
15,R15,9564.6,9565.0,2176
16,R16,8638.4,6808,8638.4
17,R17,9025.0,9024.8,4875
18,R18,4411,9117.6,9117.8
19,R19,9215.2,9215.4,3924
20,R20,6071,8785.8,8785.6
21,R21,9095.0,4524,9095.0
22,R22,8569.0,8568.6,7156
23,R23,5279,8944.2,8944.2
24,R24,9523.8,9524.0,2380
25,R25,8552.2,7239,8552.4
26,R26,5386,8922.8,8923.0
27,R27,9295.0,9294.8,3525
28,R28,9387.6,3061,9387.6
29,R29,8939.6,5301,8939.8
30,R30,8779.4,8779.8,6102
31,R31,801,9839.8,9839.8
32,R32,9308,8138.6,8138.6
33,R33,1540,9691.8,9692.0
34,R34,709,9858.0,9858.0
35,R35,8353,8329.2,8329.2
36,R36,9263,8147.6,8147.4
37,R37,8730.6,8731.0,6346
38,R38,9086.8,9087.0,4566
39,R39,9736.2,9736.2,1318
40,R40,9312.8,3435,9313.2
41,R41,8328.4,8328.2,8358
42,R42,2786,9443.0,9442.6
43,R43,9933.4,333,9933.4
44,R44,7898,8420.2,8420.4
45,R45,9330.4,3347,9330.8
46,R46,9757.4,9757.4,1212
47,R47,8619.2,6905,8618.8
48,R48,9962.6,9962.4,188
49,R49,8730.4,6349,8730.2
50,R50,8673.8,6631,8673.8
51,R51,8539.0,7306,8538.8
52,R52,8618.8,8618.8,6907
53,R53,8337.0,8337.2,8315
54,R54,5841,8831.6,8832.0
55,R55,5363,8927.4,8927.4
56,R56,3286,9342.8,9342.8
57,R57,1892,9621.8,9621.6
58,R58,7571,8485.6,8486.0
59,R59,5085,8983.2,8982.8
60,R60,9217,8156.8,8156.6
61,R61,9431.4,2844,9431.0
62,R62,9783.8,9784.0,1080
63,R63,8742.0,8741.6,6291
64,R64,8349.6,8251,8349.6
65,R65,8080.4,9598,8080.6
66,R66,8820.6,5896,8821.0
67,R67,9526.4,9526.0,2369
68,R68,9580.0,9580.2,2099
69,R69,8537.4,8537.2,7314
70,R70,8567.4,7162,8567.6
71,R71,3209,9358.0,9358.4
72,R72,9942.6,9943.0,286
73,R73,9355.8,3220,9355.8
74,R74,9494.8,2527,9494.6
75,R75,8746.8,6267,8746.4
76,R76,9442.4,9442.8,2787
77,R77,9984.4,78,9984.2
78,R78,8056.6,8056.4,9718
79,R79,8159.6,9202,8159.8
80,R80,9921.0,9920.6,396
81,R81,9618,8076.2,8076.4
82,R82,9906.2,468,9906.2
83,R83,8482.0,7591,8482.0
84,R84,9845.2,9845.0,775
85,R85,9905.4,473,9905.4
86,R86,1347,9730.4,9730.8
87,R87,9740.4,1297,9740.6
88,R88,9459.4,2702,9459.8
89,R89,9299.8,3501,9299.8
90,R90,9464.2,9464.6,2678
91,R91,9393.8,3032,9393.4
92,R92,8600.4,8600.6,6998
93,R93,8875.0,5626,8875.0
94,R94,8394.2,8394.0,8029
95,R95,8347.2,8347.2,8265
96,R96,9037.8,4811,9037.8
97,R97,8573.8,7132,8573.4
98,R98,8108.4,8108.4,9457
99,R99,9249.2,9249.4,3753
100,R100,8775.0,8774.8,6125
101,R101,3741,9252.0,9251.6
102,R102,6659,8668.2,8668.0
103,R103,8011.2,8011.6,9943
104,R104,1644,9671.4,9671.4
105,R105,9430.4,2847,9430.4
106,R106,9076.2,4620,9076.0
107,R107,8219,8356.0,8356.2
108,R108,9343.6,3281,9343.8
109,R109,8238.0,8238.0,8811
110,R110,8016.0,9921,8016.0
111,R111,9823.8,9823.8,882
112,R112,9810.8,9811.0,945
113,R113,9031.0,9031.0,4846
114,R114,1943,9611.2,9611.6
115,R115,9665.0,1674,9665.4
116,R116,8789.4,6053,8789.2
117,R117,9375.4,9375.6,3123
118,R118,4545,9091.2,9091.0
119,R119,2720,9456.0,9456.0
120,R120,5929,8814.0,8814.0
121,R121,4192,9161.8,9161.4
122,R122,8974.6,5127,8974.6
123,R123,9701.0,9701.0,1495
124,R124,9593.8,9593.6,2031
125,R125,1662,9667.8,9667.6
126,R126,9712.0,9712.2,1440
127,R127,8068,8386.2,8386.6
128,R128,9579.6,2102,9579.6
129,R129,8447.4,8447.6,7762
130,R130,4436,9113.0,9112.8
131,R131,8314,8337.0,8337.2
132,R132,8137.2,8137.0,9315
133,R133,9299.4,3503,9299.6
134,R134,2028,9594.4,9594.6
135,R135,8875.4,5622,8875.6
136,R136,2559,9488.0,9488.0
137,R137,8361,8327.8,8327.8
138,R138,9376.4,9376.6,3117
139,R139,9230.6,3846,9230.8
140,R140,6593,8681.6,8681.2
141,R141,8578.6,7107,8578.4
142,R142,9007,8198.4,8198.8
143,R143,8948.8,8948.6,5256
144,R144,7670,8466.0,8465.8
145,R145,9040.6,9040.4,4797
146,R146,7034,8593.2,8593.0
147,R147,9649.6,1751,9649.6
148,R148,9784.0,9783.6,1081
149,R149,8492.6,8492.8,7536
150,R150,8715.0,6426,8714.8
151,R151,9068.4,9068.6,4657
152,R152,8556,8289.0,8289.0
153,R153,9944.4,9944.2,279
154,R154,514,9897.2,9897.2
155,R155,8470,8306.2,8305.8
156,R156,5919,8816.4,8816.4
157,R157,8699,8260.2,8260.4
158,R158,8047.6,8047.4,9763
159,R159,8727.0,6365,8727.2
160,R160,9183.4,9183.8,4082
161,R161,8489.6,7552,8489.4
162,R162,8185.4,8185.8,9072
163,R163,8869.8,5650,8870.2
164,R164,8952.4,5237,8952.4
165,R165,3852,9229.4,9229.4
166,R166,8860.6,8860.4,5698
167,R167,8999.6,8999.2,5003
168,R168,5830,8833.8,8834.0
169,R169,3613,9277.4,9277.6
170,R170,8214.6,8926,8214.6
171,R171,4653,9069.2,9069.4
172,R172,8637.4,6814,8637.2
173,R173,9582.8,9582.8,2087
174,R174,6428,8714.4,8714.4
175,R175,8098.0,9510,8098.2
176,R176,9383.0,9383.4,3084
177,R177,8592,8281.6,8281.4
178,R178,4876,9024.6,9025.0
179,R179,7557,8488.6,8488.4
180,R180,9212.8,3936,9212.6
181,R181,8204.4,8978,8204.4
182,R182,8001.8,9990,8002.0
183,R183,8593,8281.4,8281.2
184,R184,4723,9055.2,9055.4
185,R185,8324.4,8378,8324.4
186,R186,1290,9741.8,9742.2
187,R187,1344,9731.0,9731.0
188,R188,9139.6,4302,9139.4
189,R189,7057,8588.4,8588.4
190,R190,9195.0,9194.8,4026
191,R191,9113.6,9113.6,4432
192,R192,8277.0,8616,8276.6
193,R193,8264.2,8264.0,8679
194,R194,2111,9578.0,9577.8
195,R195,8369.0,8369.4,8154
196,R196,8983.0,5084,8983.0
197,R197,4002,9199.4,9199.8
198,R198,8826.6,5866,8827.0
199,R199,8761.0,8761.0,6196
200,R200,8663.2,6683,8663.6
201,R201,2087,9582.6,9582.6
202,R202,8794.0,8794.0,6029
203,R203,9429.8,9429.4,2852
204,R204,9830.6,9830.4,847
205,R205,8110.0,8110.0,9449
206,R206,8353.6,8233,8353.6
207,R207,2240,9552.0,9552.2
208,R208,8627.8,6862,8627.6
