id,label,attr_0,attr_1,attr_2
1,R1,9865,9408,8901
2,R2,6159,9499,318
3,R3,6431,1197,2371
4,R4,3861,827,8192
5,R5,8658,5840,4266
6,R6,3097,2321,8815
7,R7,9133,8039,6080
8,R8,3248,8121,113
9,R9,9549,5152,8384
10,R10,9474,7121,6940
11,R11,727,3670,9924
12,R12,1219,6842,3770
13,R13,39,5506,3444
14,R14,3168,7649,9545
15,R15,574,833,4274
16,R16,4320,2776,3437
17,R17,2140,7239,6086
18,R18,9985,1328,1731
19,R19,3031,3831,607
20,R20,9136,6811,8609
21,R21,3027,2038,3403
22,R22,63,8602,1938
23,R23,2529,8729,9126
24,R24,345,2277,1864
25,R25,5972,8452,9052
26,R26,3510,9593,1387
27,R27,264,6355,8987
28,R28,746,8147,467
29,R29,1705,6777,5494
30,R30,9692,7136,1414
31,R31,8029,624,165
32,R32,6273,2486,4450
33,R33,5374,5768,9349
34,R34,3527,8393,1931
35,R35,315,8163,2873
36,R36,5425,9604,5781
37,R37,9393,5594,26
38,R38,3393,8620,9267
39,R39,218,326,1994
40,R40,4649,9017,2090
41,R41,6118,5935,8622
42,R42,5103,4668,5503
43,R43,2035,6939,184
44,R44,9454,7128,6656
45,R45,789,9634,7054
46,R46,3374,3528,3127
47,R47,4614,8807,5348
48,R48,5903,1198,5482
49,R49,8504,8605,9607
50,R50,5895,3287,2775
51,R51,3300,2566,2785
52,R52,7258,9097,8157
53,R53,2634,6172,3825
54,R54,5838,3158,584
55,R55,8739,8982,1576
56,R56,1881,4508,4404
57,R57,5266,8629,3496
58,R58,846,1073,4859
59,R59,4452,6126,3030
60,R60,4048,3256,2663
61,R61,77,1921,1282
62,R62,9724,7043,4897
63,R63,3052,3035,1390
64,R64,6162,9972,6769
65,R65,1676,8854,4591
66,R66,3039,7934,9338
67,R67,1634,768,5086
68,R68,4039,4653,996
69,R69,2153,2538,7300
70,R70,5514,1029,4201
71,R71,7513,743,9906
72,R72,7220,5666,4398
73,R73,3893,3474,8640
74,R74,4924,5660,9105
75,R75,5462,7483,593
76,R76,9210,2186,8658
77,R77,9036,4882,3952
78,R78,3909,3025,399
79,R79,8161,3,3470
80,R80,823,2460,6455
81,R81,8300,1995,8746
82,R82,7347,4191,5322
83,R83,528,5814,3753
84,R84,2252,921,9431
85,R85,5251,2215,4696
86,R86,9631,9296,9157
87,R87,4833,1567,3425
88,R88,8180,3539,833
89,R89,2984,6757,1803
90,R90,3433,2524,5774
91,R91,2274,9112,5321
92,R92,8037,7955,6973
93,R93,7348,7913,6644
94,R94,3609,8518,4171
95,R95,8877,4339,4255
96,R96,6194,8481,741
97,R97,4825,1195,1786
98,R98,8518,9016,6987
99,R99,8907,165,9481
100,R100,2465,2899,5155
101,R101,2541,805,7541
102,R102,4203,3049,8799
103,R103,6308,3101,4095
104,R104,6340,3587,8823
105,R105,3133,1554,4165
