id,label,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9
1,R1,730,336,1474,8081,2518,1581,7358,500,7578,2999
2,R2,1744,3412,5510,3456,9547,3965,576,9830,8533,6915
3,R3,3534,9301,3443,7508,5734,7717,2937,544,3915,28
4,R4,6006,6009,7414,4751,2351,4056,7032,8903,837,5781
5,R5,3202,8324,8968,3850,5137,5213,857,2317,5378,902
6,R6,7842,851,3463,2443,8136,8695,3731,2130,2030,9974
7,R7,173,3827,8537,2081,5093,1416,9531,756,9049,1382
8,R8,1691,1478,4996,4288,270,2825,1060,8806,9582,4241
9,R9,442,9909,1297,7816,7677,2879,6393,4371,6080,6135
10,R10,4726,4141,4793,8536,8548,2813,2113,9863,9193,2459
11,R11,3768,8972,5756,5698,8176,6102,6884,7044,7911,9546
12,R12,3668,4024,9750,1940,8913,1525,1294,8497,2297,2763
13,R13,6129,5605,8477,5188,1057,200,4697,7978,7735,1516
14,R14,9938,1410,5783,3821,4731,5910,7543,1003,7052,7922
15,R15,6203,6191,7757,7584,1443,4159,1410,9165,5434,5530
16,R16,925,7635,2426,3104,5715,1096,8612,4209,9989,6923
17,R17,9371,8871,6056,64,3047,4740,2760,5798,7720,7411
18,R18,2234,9689,4557,8946,9815,9414,4109,6379,7418,1002
19,R19,8043,1747,5239,8736,8998,4133,3775,4284,9840,9959
20,R20,8346,3759,5984,569,8908,6100,651,6919,857,3837
21,R21,116,5683,993,5275,2828,4010,9674,9378,4335,2587
22,R22,2574,918,4541,7434,8583,9568,802,8763,7517,3019
23,R23,7239,6080,1926,9164,6088,812,7676,7651,1630,2457
24,R24,3896,4408,8569,2290,800,7372,5730,9857,7498,9371
25,R25,1270,9890,8254,5483,8481,2815,2940,6444,4356,5751
26,R26,9394,190,8946,9291,440,1225,628,7771,5342,772
27,R27,647,3256,2537,5306,199,5781,7538,578,9269,8123
28,R28,9851,1866,916,424,9089,3703,3036,4679,6389,7211
29,R29,7494,7301,330,4634,5641,6264,6086,9807,2402,5922
30,R30,2738,2777,1678,5206,3483,3091,7539,9717,798,9616
31,R31,3655,3590,4926,6977,3095,5279,931,2185,9839,7426
32,R32,1751,3439,443,6248,2715,6249,4606,9009,5407,2788
33,R33,537,4693,1283,2048,1005,9365,206,6008,2203,8735
34,R34,6199,7933,8270,3256,619,2016,1877,3694,9264,7291
35,R35,9995,1077,4787,5445,5976,3543,746,7453,8859,9765
36,R36,1504,1523,9658,4331,1153,6128,6532,4333,668,100
37,R37,3231,2412,9380,5238,2749,948,2648,4005,2016,658
38,R38,1506,6958,4611,2289,3322,2189,6180,7346,6301,4645
39,R39,9547,7153,433,9378,4362,5125,8128,6563,6592,9483
40,R40,5997,8491,5399,1599,4,8248,6010,412,6823,1354
41,R41,6623,5563,72,5106,4462,9245,7025,9721,4594,5142
42,R42,3039,8107,735,5577,735,6034,9003,7840,1751,7543
43,R43,1747,9043,1019,6482,2011,8487,5802,2163,2713,1008
44,R44,9871,1736,1102,906,5594,2590,8483,6657,547,6362
45,R45,921,2068,6430,1592,3058,537,3993,1861,1860,2660
46,R46,2752,9016,3856,9532,1649,4756,867,2448,8025,8245
47,R47,6502,329,6509,978,3531,7736,5620,9461,3330,1188
48,R48,6307,6765,7549,8834,1,8566,6368,1782,1680,2435
49,R49,4217,3223,2579,4052,3676,3639,1456,8849,1037,1493
50,R50,6436,1453,250,2336,1091,2241,9317,4667,9928,7826
51,R51,7874,3919,9598,9270,2673,8305,9896,6547,4940,5819
52,R52,5258,3601,5257,8589,6008,4868,555,3730,2630,2183
53,R53,3935,9804,6519,7339,8869,5486,2622,9172,2692,2072
54,R54,4382,109,5576,3726,6664,9138,3548,280,8718,7191
55,R55,5871,6789,9219,1243,8638,8033,3048,3943,8842,4583
56,R56,4290,7367,5297,7242,875,40,1351,6017,3491,6370
57,R57,9692,6061,4011,8879,1734,8621,2766,6620,8602,8789
58,R58,3467,4445,1027,9357,3233,6081,3775,6085,9429,3723
59,R59,6851,3180,8251,9533,4537,6731,2785,9357,2389,3737
60,R60,4804,6514,3394,3183,4576,1530,678,3936,4390,8521
61,R61,2205,9285,6065,5999,2437,9852,8583,9937,2025,9764
62,R62,3195,5812,8014,3346,3038,3423,6919,7753,8010,7188
63,R63,8719,5165,9063,8465,452,3787,7361,9,5280,3854
64,R64,3698,8034,9846,3695,9156,8688,3905,1211,3932,651
65,R65,8390,7358,3029,8556,5530,3085,810,1816,967,4731
66,R66,7206,2348,3418,9149,4083,4880,4484,3972,3273,3635
67,R67,7757,4858,4145,3059,1046,2821,7973,7713,3181,7326
68,R68,6212,2720,2319,6410,2569,7043,2909,3336,4896,9632
69,R69,5743,3339,7772,2358,1748,481,8946,9035,182,7959
70,R70,4187,6347,5288,1868,4061,9330,5203,2666,2626,4605
71,R71,1542,4156,4025,6870,3896,6986,1152,7852,927,5943
72,R72,7795,1199,5868,3507,264,5133,8911,2056,5354,6116
73,R73,2569,4081,1032,8642,636,402,642,4559,7027,8485
74,R74,4814,3908,1176,6186,6698,4728,3110,6692,2556,6561
75,R75,5705,6567,1275,8810,9717,6859,523,8792,3332,2126
76,R76,3558,686,9701,4843,4999,9716,435,8630,3666,8490
77,R77,7816,9299,303,5237,566,5877,9858,8246,5235,6717
78,R78,2800,4329,785,5859,5517,8071,1288,6470,7308,9686
79,R79,7239,6207,918,2374,2407,6257,4344,399,6724,321
80,R80,7018,2905,723,9876,8091,6706,9617,6119,8043,7832
81,R81,7644,146,3272,472,2280,7227,6938,6699,9137,6768
82,R82,7248,3291,8662,4696,6727,1798,6303,6342,5096,2702
83,R83,4106,5272,6484,9307,9993,2628,592,3648,4121,5244
84,R84,3026,345,4412,6078,4858,8607,7149,5002,6779,3527
85,R85,234,9319,3179,4446,6085,9645,1586,1200,9303,9491
86,R86,1341,2870,1135,8649,231,9680,8508,9419,5351,2926
87,R87,7400,1401,7657,8298,1871,6190,5169,2521,6210,5907
88,R88,3506,7370,6108,2034,7231,7417,9992,6568,2959,1130
89,R89,7009,1415,9013,3889,7944,9940,2347,5795,3884,1300
90,R90,6279,6079,3781,2622,8608,8056,607,9334,9969,6859
91,R91,7865,1674,3836,5264,2597,7791,1345,8035,7456,8546
92,R92,6470,587,7612,8050,1704,9934,3848,3654,7137,2359
93,R93,8254,1759,8374,9246,4908,3243,9430,8117,2302,8244
94,R94,7918,930,7969,5344,5921,2888,4520,2391,3461,9829
95,R95,3796,3867,6515,8736,1319,4397,4712,7359,7807,722
96,R96,1447,4968,1527,4203,6819,896,5609,7566,7332,6583
97,R97,9335,2787,4920,3117,7949,3970,8139,1461,2441,8607
98,R98,1804,6270,5612,6851,3835,1998,4934,2718,7387,7486
99,R99,6774,9716,8425,1609,6388,6450,69,4402,8498,8551
100,R100,3294,1686,4615,2608,2420,3216,3468,1641,3278,466
101,R101,2339,9089,6504,3352,3678,9950,3141,2122,7740,8260
102,R102,4459,848,6957,7107,846,1251,6139,4732,3267,3059
103,R103,5892,9386,8696,5833,7979,9962,4464,3718,9936,8795
104,R104,5079,7428,1430,1028,154,3669,8888,1033,607,717
105,R105,6576,5659,1357,5498,5651,936,4078,5447,28,804
106,R106,8085,2216,3756,6535,6785,6946,7384,8327,22,9267
107,R107,7961,5615,224,8255,8053,962,7485,7554,761,3584
108,R108,1676,5240,201,5980,220,6462,3830,5247,5944,1847
109,R109,5681,7880,8471,2479,6253,8106,5087,3135,9632,250
110,R110,4536,205,3424,693,7548,4926,4470,4721,1026,4437
111,R111,7492,6548,4682,4360,6200,5566,4857,6905,800,5919
112,R112,4339,1886,9062,3409,2620,3115,9511,7979,3892,2351
113,R113,6694,6247,5627,7670,9787,6980,9347,3142,7087,5837
114,R114,6739,3008,9375,3136,4947,1138,9085,312,9843,4278
115,R115,1654,3889,5157,9507,3283,2779,7474,6944,9473,9196
116,R116,3644,7754,6483,7303,7487,8851,8293,6103,122,7672
117,R117,96,5517,7904,6377,7640,4714,4707,2284,1968,1192
118,R118,4960,1513,5640,2148,195,4157,5119,4769,3851,7150
119,R119,7441,1299,4928,359,9809,740,7200,9642,6479,657
120,R120,7831,7977,2498,8988,4318,1029,4742,8359,7779,4155
121,R121,2500,7907,6832,9190,4712,6781,9006,9969,4874,245
122,R122,5251,8717,5490,3091,9986,5052,1958,6029,2078,7083
123,R123,2560,8421,6924,4932,3586,4006,6988,1712,1092,7237
124,R124,4776,6487,1070,676,8578,6242,5347,1605,2232,4775
125,R125,8903,5861,5697,9026,6335,2069,6420,5388,1552,5073
126,R126,4739,2444,6497,4212,1465,4535,1063,3062,3537,6368
127,R127,2518,3944,3518,4479,6137,5307,2961,2584,1370,1332
128,R128,5809,7430,6556,7552,1422,3829,8003,3111,5663,6573
129,R129,5063,2529,7864,9800,3983,6470,691,9003,7816,6899
130,R130,1813,4905,6247,6766,8271,8860,9637,7390,4259,8429
131,R131,6034,8976,9566,2421,1957,5509,5026,3946,3060,2596
132,R132,2758,6726,3238,527,8760,1380,7414,5672,4532,8127
133,R133,4502,9027,5165,8764,6838,1864,7015,27,9611,3223
134,R134,6413,1209,7313,4863,56,5423,567,5214,6315,9386
135,R135,1218,3145,6778,8649,8642,1469,2386,1295,2764,7227
136,R136,3126,8720,9024,8592,6209,4002,7901,8276,9919,5762
137,R137,5519,6769,7828,9939,8071,8418,9650,8474,283,971
138,R138,7919,9016,348,5774,2079,5670,696,980,5935,8693
139,R139,9339,5693,3784,3830,7213,8523,4111,3489,3806,7172
140,R140,9496,6050,7276,1186,6101,733,4305,2430,1583,5085
141,R141,11,9878,8401,3038,4351,9458,9993,1736,1841,9517
142,R142,3123,1386,8662,3188,913,1397,2558,4882,8533,8128
143,R143,150,3973,6319,3522,5234,1775,1141,2350,1731,2952
144,R144,8216,4511,457,3074,6185,6032,6173,1663,9765,2405
145,R145,149,383,293,8445,3805,8713,3864,9874,1279,8988
146,R146,8948,7300,4475,4299,1209,6653,2147,6684,8235,6704
147,R147,2654,4491,49,7074,7554,2277,4986,9592,6431,9189
148,R148,6716,7296,9507,6215,8290,3463,2583,6343,5842,385
149,R149,495,9776,1056,5931,6986,3664,4912,7489,6362,4647
150,R150,415,5527,7513,1594,2902,791,493,3874,5062,8784
151,R151,2729,9872,4753,3411,4642,9809,3442,9254,7205,8469
152,R152,5204,5012,5104,7107,9058,7508,4417,2432,2305,4933
153,R153,6124,4844,5833,9362,5749,8476,9809,7057,7952,1344
154,R154,2391,9508,7791,8422,8892,316,4152,5881,4622,2479
155,R155,4459,6966,1034,4983,3989,4789,8693,637,4546,3539
