id,label,attr_0,attr_1,attr_2
1,R1,9045,7157,6102
2,R2,7588,3062,2080
3,R3,2678,6434,977
4,R4,3805,7568,952
5,R5,9908,7823,8744
6,R6,8794,4060,7810
7,R7,5773,687,9662
8,R8,2330,2678,4750
9,R9,3314,4759,4269
10,R10,4872,5494,9524
11,R11,6747,9302,7669
12,R12,3413,2393,330
13,R13,3892,9995,1188
14,R14,4628,2748,6931
15,R15,7803,7927,9042
16,R16,2866,4305,3206
17,R17,3144,5001,7171
18,R18,5257,9317,363
19,R19,6645,7614,4470
20,R20,9805,475,7820
21,R21,6621,5767,3293
22,R22,2775,2446,552
23,R23,1851,7778,2201
24,R24,2216,6686,9216
25,R25,298,1050,5039
26,R26,4345,9077,2941
27,R27,7553,5565,2888
28,R28,7945,4737,2361
29,R29,2092,7771,1608
30,R30,627,9995,1582
31,R31,2124,6468,1
32,R32,6130,7856,3738
33,R33,9091,3249,4356
34,R34,953,4428,8738
35,R35,5631,7407,3019
36,R36,7251,2131,7639
37,R37,3575,2358,99
38,R38,4298,3991,1540
39,R39,1208,9030,2237
40,R40,604,3865,6319
41,R41,6273,29,4534
42,R42,572,2299,13
43,R43,4890,287,8690
44,R44,4274,3671,2735
45,R45,3221,5068,2611
46,R46,2204,6331,604
47,R47,7515,9286,9818
48,R48,2181,5643,5402
49,R49,6496,4488,3660
50,R50,903,7205,8390
51,R51,8549,1818,417
52,R52,7164,6357,195
53,R53,8568,6205,895
54,R54,9022,7799,9754
55,R55,7618,1117,6197
56,R56,4721,8489,8987
57,R57,6644,6620,9244
58,R58,5433,6099,1028
59,R59,8877,8366,1033
60,R60,8032,1839,7703
61,R61,4993,5859,818
62,R62,5102,8117,8450
63,R63,9187,4721,4090
64,R64,4114,2197,4912
65,R65,7158,7660,4835
66,R66,979,3807,3692
67,R67,2590,9384,8975
68,R68,5359,7260,4239
69,R69,9035,5591,2780
70,R70,373,6033,3996
71,R71,5624,5477,2644
72,R72,1026,7648,8396
73,R73,4087,5500,9696
74,R74,9517,1406,2256
75,R75,9455,5842,9432
76,R76,2154,7448,2720
77,R77,349,33,3194
78,R78,258,2084,4069
