id,label,attr_0,attr_1,attr_2
1,R1,8932,2752,8124
2,R2,7302,4487,130
3,R3,1225,3109,610
4,R4,4341,5833,61
5,R5,8857,4521,5662
6,R6,1631,1013,9196
7,R7,4812,964,1182
8,R8,5807,2647,4
9,R9,5561,5849,2570
10,R10,7073,5365,9265
11,R11,3603,4731,9950
12,R12,8101,9109,9837
13,R13,3471,1722,2244
14,R14,4394,5700,294
15,R15,7405,1510,5482
16,R16,8881,4654,7100
17,R17,2468,757,9399
18,R18,2547,2923,2782
19,R19,8309,5302,9644
20,R20,1815,8392,5038
21,R21,8026,352,6179
22,R22,4475,2323,9391
23,R23,8539,9034,116
24,R24,1916,8953,934
25,R25,2016,3612,8475
26,R26,6962,2815,8207
27,R27,6578,9804,5173
28,R28,3082,3564,453
29,R29,7078,6042,4125
30,R30,8899,85,9451
31,R31,7094,296,8019
32,R32,2683,6043,2050
33,R33,9724,6383,7038
34,R34,3038,8920,8344
35,R35,1881,3303,7577
36,R36,8879,1149,3429
37,R37,1423,7105,1353
38,R38,1551,579,1022
39,R39,9380,701,8932
40,R40,1341,4392,5364
41,R41,8311,4376,4502
42,R42,1633,1104,4893
43,R43,5096,9147,6494
44,R44,4865,1648,6359
45,R45,5847,6356,3364
46,R46,8703,5154,9776
47,R47,165,1561,1636
48,R48,3964,7350,9827
49,R49,6195,8131,5102
50,R50,6679,5645,9307
51,R51,1643,667,9119
52,R52,4654,5981,2061
53,R53,6519,1243,5699
54,R54,2465,8234,7914
55,R55,3269,3497,4834
56,R56,1607,6108,5724
57,R57,3274,2863,1548
58,R58,1163,3377,9904
59,R59,1803,4365,4811
60,R60,373,8291,9239
61,R61,599,6330,737
62,R62,6000,5361,6089
63,R63,3431,2201,3871
64,R64,9414,9819,6423
65,R65,1128,7528,9444
66,R66,552,197,9355
67,R67,5459,8128,7216
68,R68,3477,4876,7701
69,R69,6881,1982,8487
70,R70,823,8757,6685
71,R71,660,591,182
72,R72,8952,8878,2756
73,R73,1907,2058,7282
74,R74,3193,1262,7082
75,R75,720,3056,3106
76,R76,8707,2609,6828
77,R77,4478,2978,9767
78,R78,5556,2865,9627
79,R79,1071,828,8581
80,R80,3308,7454,9575
81,R81,260,7858,3083
82,R82,168,1925,6582
83,R83,1718,8803,8209
84,R84,821,1816,9462
85,R85,1051,3546,1440
86,R86,4439,4434,2501
87,R87,1057,5006,5336
88,R88,1040,184,7569
89,R89,2644,9680,9034
90,R90,5490,8390,3068
91,R91,689,7817,6604
92,R92,9854,8538,3205
93,R93,766,2118,6141
94,R94,2664,2535,5370
95,R95,4632,4711,9702
96,R96,287,3410,6263
97,R97,5339,9430,3333
98,R98,9005,8357,8380
99,R99,5645,4086,8728
100,R100,15,7045,7716
101,R101,3366,6384,938
102,R102,4047,7909,77
103,R103,9150,5081,1160
104,R104,3898,9053,8866
105,R105,7065,3820,2014
106,R106,7544,4787,5562
107,R107,4737,4097,6103
108,R108,8796,6241,8871
109,R109,1842,3702,3460
110,R110,2123,9062,208
111,R111,9616,909,1658
112,R112,1139,9925,4499
113,R113,1867,6521,3490
114,R114,8441,9375,6721
115,R115,8582,9721,2908
116,R116,7635,5986,2156
117,R117,3968,5924,9108
118,R118,506,8381,3342
119,R119,8911,3105,3442
120,R120,3497,8329,4566
121,R121,4611,8631,9487
122,R122,4404,3195,7554
123,R123,81,1672,9484
124,R124,9310,1940,5438
125,R125,5989,4702,60
126,R126,2282,5945,4863
127,R127,9264,9871,8479
128,R128,6772,4803,1565
129,R129,2801,4904,3332
130,R130,3559,9925,2493
131,R131,8687,2925,8913
132,R132,9711,8464,7103
133,R133,2285,4665,7415
