Process
{'attr_2': 8768, 'attr_0': 6578, 'attr_1': 7896, 'id': 'target', 'label': 'target'}
Subscribers : 3726
>> Waktu proses Pre-Compute Time 100 Cluster : 0:00:42.866000
>> Waktu proses Pre-Compute Time 75 Cluster : 0:00:37.648000
>> Waktu proses Pre-Compute Time 50 Cluster : 0:00:25.423000
>> Waktu proses Pre-Compute Time 25 Cluster : 0:00:13.567000
>> Waktu proses Pre-Compute Time 10 Cluster : 0:00:02.701000


total virtual yang memenuhi ekspektasi : 260

Final Solutions:
{'penalty': 0.18123, 'attr_2': 7431.0, 'attr_0': 7731.0, 'attr_1': 7797.0, 'subscribers': 7650}
{'penalty': 0.18186000000000002, 'attr_2': 7949.0, 'attr_0': 4999.0, 'attr_1': 7696.0, 'subscribers': 6125}
{'penalty': 0.18347, 'attr_2': 7636.0, 'attr_0': 7600.0, 'attr_1': 7429.0, 'subscribers': 7072}
{'penalty': 0.1902600000000001, 'attr_2': 7160.0, 'attr_0': 6112.0, 'attr_1': 7252.0, 'subscribers': 8447}
{'penalty': 0.19795999999999994, 'attr_2': 6229.0, 'attr_0': 6366.0, 'attr_1': 7819.0, 'subscribers': 11275}
{'penalty': 0.24864000000000003, 'attr_2': 7171.0, 'attr_0': 5250.0, 'attr_1': 7269.0, 'subscribers': 8418}
{'penalty': 0.26859, 'attr_2': 7589.0, 'attr_0': 6148.0, 'attr_1': 5668.0, 'subscribers': 7209}
{'penalty': 0.27712999999999993, 'attr_2': 7488.0, 'attr_0': 7000.0, 'attr_1': 5639.0, 'subscribers': 7489}
{'penalty': 0.3177999999999999, 'attr_2': 4969.0, 'attr_0': 7087.0, 'attr_1': 7664.0, 'subscribers': 15063}
{'penalty': 0.35854, 'attr_2': 6637.0, 'attr_0': 4999.0, 'attr_1': 6484.0, 'subscribers': 10064}
{'penalty': 0.36708, 'attr_2': 7630.0, 'attr_0': 2607.0, 'attr_1': 7761.0, 'subscribers': 7088}
{'penalty': 0.3693899999999999, 'attr_2': 7629.0, 'attr_0': 7722.0, 'attr_1': 4902.0, 'subscribers': 7091}
{'penalty': 0.38506999999999986, 'attr_2': 4579.0, 'attr_0': 7764.0, 'attr_1': 7770.0, 'subscribers': 16191}
{'penalty': 0.38639999999999997, 'attr_2': 6423.0, 'attr_0': 7678.0, 'attr_1': 5821.0, 'subscribers': 10694}
{'penalty': 0.39998, 'attr_2': 5812.0, 'attr_0': 4173.0, 'attr_1': 7543.0, 'subscribers': 12517}
{'penalty': 0.40907999999999994, 'attr_2': 4852.0, 'attr_0': 7024.0, 'attr_1': 6414.0, 'subscribers': 15403}
{'penalty': 0.42139999999999994, 'attr_2': 3462.0, 'attr_0': 6093.0, 'attr_1': 7667.0, 'subscribers': 19554}
{'penalty': 0.4258800000000001, 'attr_2': 7584.0, 'attr_0': 2568.0, 'attr_1': 7006.0, 'subscribers': 7224}
{'penalty': 0.45219999999999994, 'attr_2': 7052.0, 'attr_0': 4543.0, 'attr_1': 5187.0, 'subscribers': 8785}
{'penalty': 0.45577, 'attr_2': 7582.0, 'attr_0': 3700.0, 'attr_1': 5449.0, 'subscribers': 7229}
{'penalty': 0.45716999999999997, 'attr_2': 7002.0, 'attr_0': 2607.0, 'attr_1': 7102.0, 'subscribers': 8948}
{'penalty': 0.45920000000000005, 'attr_2': 5005.0, 'attr_0': 4260.0, 'attr_1': 7417.0, 'subscribers': 14967}
{'penalty': 0.48685, 'attr_2': 6324.0, 'attr_0': 5450.0, 'attr_1': 4513.0, 'subscribers': 10998}
{'penalty': 0.48754999999999993, 'attr_2': 7829.0, 'attr_0': 7418.0, 'attr_1': 2710.0, 'subscribers': 6481}
{'penalty': 0.4992399999999999, 'attr_2': 5449.0, 'attr_0': 5268.0, 'attr_1': 5393.0, 'subscribers': 13632}
{'penalty': 0.49958999999999987, 'attr_2': 6500.0, 'attr_0': 7462.0, 'attr_1': 3911.0, 'subscribers': 10476}
{'penalty': 0.50309, 'attr_2': 7470.0, 'attr_0': 4949.0, 'attr_1': 3636.0, 'subscribers': 7546}
{'penalty': 0.50953, 'attr_2': 7207.0, 'attr_0': 7556.0, 'attr_1': 3156.0, 'subscribers': 8314}
{'penalty': 0.5226199999999999, 'attr_2': 5937.0, 'attr_0': 6692.0, 'attr_1': 3375.0, 'subscribers': 12153}
{'penalty': 0.5239499999999999, 'attr_2': 7266.0, 'attr_0': 3541.0, 'attr_1': 4950.0, 'subscribers': 8160}
{'penalty': 0.5345900000000001, 'attr_2': 4947.0, 'attr_0': 3597.0, 'attr_1': 7061.0, 'subscribers': 15120}
{'penalty': 0.53494, 'attr_2': 4252.0, 'attr_0': 7427.0, 'attr_1': 5619.0, 'subscribers': 17161}
{'penalty': 0.53886, 'attr_2': 2130.0, 'attr_0': 7193.0, 'attr_1': 8341.0, 'subscribers': 23625}
