Process
{'attr_2': 9742, 'attr_0': 8888, 'attr_1': 9867, 'id': 'target', 'label': 'target'}
Subscribers : 2884
>> Waktu proses Pre-Compute Time 100 Cluster : 0:00:16.035000
>> Waktu proses Pre-Compute Time 75 Cluster : 0:00:14.752000
>> Waktu proses Pre-Compute Time 50 Cluster : 0:00:08.454000
>> Waktu proses Pre-Compute Time 25 Cluster : 0:00:05.534000
>> Waktu proses Pre-Compute Time 10 Cluster : 0:00:01.719000


total virtual yang memenuhi ekspektasi : 225

Final Solutions:
{'penalty': 0.19612038796120387, 'attr_2': 8000.0, 'attr_0': 8000.0, 'attr_1': 9695.0, 'subscribers': 22093}
{'penalty': 0.19885011498850122, 'attr_2': 8000.0, 'attr_0': 8000.0, 'attr_1': 9656.0, 'subscribers': 22093}
{'penalty': 0.20838316168383159, 'attr_2': 9520.0, 'attr_0': 8000.0, 'attr_1': 7999.8, 'subscribers': 5297}
{'penalty': 0.20838316168383159, 'attr_2': 9520.0, 'attr_0': 8000.0, 'attr_1': 7999.8, 'subscribers': 5297}
{'penalty': 0.20878912108789122, 'attr_2': 8000.0, 'attr_0': 8000.0, 'attr_1': 9514.0, 'subscribers': 22093}
{'penalty': 0.2094610538946105, 'attr_2': 8061.8, 'attr_0': 8061.6, 'attr_1': 9381.0, 'subscribers': 21445}
{'penalty': 0.20961503849615043, 'attr_2': 9372.0, 'attr_0': 8065.0, 'attr_1': 8065.2, 'subscribers': 7083}
{'penalty': 0.21319868013198676, 'attr_2': 8069.0, 'attr_0': 8069.0, 'attr_1': 9313.0, 'subscribers': 21370}
{'penalty': 0.2214858514148585, 'attr_2': 9079.0, 'attr_0': 8126.6, 'attr_1': 8127.0, 'subscribers': 10341}
{'penalty': 0.22289971002899714, 'attr_2': 8124.2, 'attr_0': 8124.2, 'attr_1': 9064.0, 'subscribers': 20746}
{'penalty': 0.22845715428457147, 'attr_2': 9040.0, 'attr_0': 8096.6, 'attr_1': 8096.4, 'subscribers': 10758}
{'penalty': 0.22863913608639136, 'attr_2': 8097.6, 'attr_0': 8097.8, 'attr_1': 9035.0, 'subscribers': 21040}
{'penalty': 0.2291570842915708, 'attr_2': 9030.0, 'attr_0': 8096.6, 'attr_1': 8096.4, 'subscribers': 10876}
{'penalty': 0.22931106889311076, 'attr_2': 8138.4, 'attr_0': 8138.4, 'attr_1': 8944.0, 'subscribers': 20587}
{'penalty': 0.23254474552544752, 'attr_2': 8146.2, 'attr_0': 8882.0, 'attr_1': 8146.4, 'subscribers': 20501}
{'penalty': 0.2332166783321668, 'attr_2': 8796.0, 'attr_0': 8184.4, 'attr_1': 8184.6, 'subscribers': 13531}
{'penalty': 0.23563843615638436, 'attr_2': 8187.6, 'attr_0': 8187.8, 'attr_1': 8755.0, 'subscribers': 20020}
{'penalty': 0.23624037596240383, 'attr_2': 8207.4, 'attr_0': 8707.0, 'attr_1': 8207.4, 'subscribers': 19816}
{'penalty': 0.23633836616338383, 'attr_2': 8155.2, 'attr_0': 8966.0, 'attr_1': 8155.2, 'subscribers': 20409}
